Checking L.Condensation (/Users/alsg/Agentic/Bedrock/src/L/Condensation.lagda.md).
Total                                          109,118ms 
Miscellaneous                                   57,747ms 
L.Condensation.SatGraphAgree.back                3,331ms 
L.Condensation.PropAgree.subB2T-back             3,032ms 
L.Condensation.SatGraphAgree.out                 2,009ms 
L.Condensation.MemAgree.back                     1,603ms 
L.Condensation.LeafAgree.back                    1,307ms 
L.Condensation.LeafAgree.out                     1,306ms 
L.Condensation.Exist.Δ₀-existBndAt               1,228ms 
L.Condensation.AllInAgree.back                   1,085ms 
L.Condensation.ExInAgree.back                    1,084ms 
L.Condensation.WitnessAgree._.go                 1,061ms 
L.Condensation.SatGraphAgree.body-back           1,015ms 
L.Condensation.SatGraphAgree.body-out            1,009ms 
L.Condensation.WitnessAgree._.go                   993ms 
L.Condensation.ImpLeaf.yaOut                       786ms 
L.Condensation.ImpLeaf.ybOut                       762ms 
L.Condensation.Forall.Δ₀-bodyFφ                    750ms 
L.Condensation.ImpAgree.back                       726ms 
L.Condensation.ExInAgree.out                       701ms 
L.Condensation._.dc                                691ms 
L.Condensation._.dc                                691ms 
L.Condensation.AllInAgree.out                      670ms 
L.Condensation.BinShapeClosed.in'                  643ms 
L.Condensation.ForallAgree.back                    631ms 
L.Condensation.EqAgree.back                        629ms 
L.Condensation.Clause.Δ₀-bodyBnd                   608ms 
L.Condensation.KFactsNS.KFacts                     588ms 
L.Condensation.PropAgree.back                      580ms 
L.Condensation.ShapedAgree.back                    575ms 
L.Condensation.ExistAgree.back                     569ms 
L.Condensation.ShapedAgree.out                     563ms 
L.Condensation.ImpAgree.out                        548ms 
L.Condensation.BinaryShape.in'                     527ms 
L.Condensation.SatGraphAgree.lift3                 482ms 
L.Condensation.NegAgree.back                       478ms 
L.Condensation.ForallAgree.out                     404ms 
L.Condensation.BinShapeClosed._.target             378ms 
L.Condensation.TopAgree.back                       372ms 
L.Condensation.TmVal.in'                           368ms 
L.Condensation.EqAgree.out                         357ms 
L.Condensation.CertTransfer.cert-transfer          355ms 
L.Condensation.MemAgree.out                        348ms 
L.Condensation.ExistAgree.out                      344ms 
L.Condensation.TmVal.out                           343ms 
L.Condensation.PropAgree.out                       327ms 
L.Condensation.BndLeaf.keyK-of                     296ms 
L.Condensation.KFactsCons                          295ms 
L.Condensation.AtomLeaf.keyK-of                    291ms 
L.Condensation.NegAgree.out                        284ms 
L.Condensation.BinaryShape._.target                253ms 
L.Condensation.BndLeaf.all-fwd                     246ms 
L.Condensation.TopAgree.out                        228ms 
L.Condensation.UnShapeClosed.in'                   220ms 
L.Condensation.PropAgree.subB2T                    216ms 
L.Condensation.ClauseDecode.existBnd-out           214ms 
L.Condensation.BndLeaf.ex-fwd                      206ms 
L.Condensation.BndLeaf.ex-bwd                      198ms 
L.Condensation.ShapesAgree.out                     185ms 
L.Condensation.SubValSuccB2T.out                   176ms 
L.Condensation.UnaryShape.in'                      165ms 
L.Condensation.UnShapeClosed._.target              159ms 
L.Condensation.ExistAgree.Leaf.fwd                 157ms 
L.Condensation.BndLeaf.all-bwd                     157ms 
L.Condensation.ExistAgree.Leaf.bwd                 155ms 
L.Condensation.LeafAgree.ic-back                   155ms 
L.Condensation.LeafAgree.ic-out                    154ms 
L.Condensation.PropAgree.keyK₀                     149ms 
L.Condensation.ClosedAgree.out                     143ms 
L.Condensation.ClosedAgree.back                    140ms 
L.Condensation.KeyAgree._._.go₂                    134ms 
L.Condensation.TmBranch._._.tagAt                  121ms 
L.Condensation.BinFormAgree._._._.go₃              116ms 
L.Condensation.Lift12Back.back                     116ms 
L.Condensation.ImpLeaf.yaBack                      113ms 
L.Condensation.ImpLeaf.ybBack                      112ms 
L.Condensation.UnaryShape._.target                 109ms 
L.Condensation.AtomLeaf.fwd                        109ms 
L.Condensation.AtomLeaf.bwd                        108ms 
L.Condensation.Lift12Back.s₁                       106ms 
L.Condensation.BinFormAgree._._._._.shape          105ms 
L.Condensation.SubValSuccB2T.back                  103ms 
L.Condensation.Lift12Back.s₂                        99ms 
L.Condensation.BinFrameAgree._.go                   98ms 
