# module src/L/Condensation.lagda.md
# in-fence lines 6554
# GHCRTS -A64m -I0 -M8g
# command agda --profile=definitions src/L/Condensation.lagda.md
# load before 4.26 / 5.33 / 8.88
# load after  5.51 / 5.42 / 8.44
# wall seconds 122.80
# exit 0
Checking L.Condensation (/Users/alsg/Agentic/Bedrock/src/L/Condensation.lagda.md).
Total                                          119,663ms 
Miscellaneous                                   62,594ms 
L.Condensation.SatGraphAgree.back                3,632ms 
L.Condensation.AllInAgree.back                   2,432ms 
L.Condensation.PropAgree.subB2T-back             2,362ms 
L.Condensation.SatGraphAgree.out                 2,214ms 
L.Condensation.FstTmRel.back                     1,856ms 
L.Condensation.LeafAgree.out                     1,432ms 
L.Condensation.LeafAgree.back                    1,405ms 
L.Condensation.Forall.Δ₀-bodyFφ                  1,161ms 
L.Condensation.ExInAgree.back                    1,157ms 
L.Condensation.SatGraphAgree.body-back           1,128ms 
L.Condensation.WitnessAgree._.go                 1,107ms 
L.Condensation.SatGraphAgree.body-out            1,027ms 
L.Condensation.WitnessAgree._.go                 1,024ms 
L.Condensation.ExistAgree.Leaf.exist-drop-step     894ms 
L.Condensation.ImpLeaf.yaOut                       845ms 
L.Condensation.ImpLeaf.ybOut                       833ms 
L.Condensation.Exist.Δ₀-existBndAt                 812ms 
L.Condensation.Clause.Δ₀-bodyBnd                   802ms 
L.Condensation.PropAgree.keyK₀                     774ms 
L.Condensation.ImpAgree.back                       747ms 
L.Condensation.AllInAgree.out                      745ms 
L.Condensation.ExInAgree.out                       712ms 
L.Condensation._.dc                                708ms 
L.Condensation.ForallAgree.back                    687ms 
L.Condensation.EqAgree.back                        681ms 
L.Condensation._.dc                                679ms 
L.Condensation.MemAgree.back                       661ms 
L.Condensation.BinShapeClosed.in'                  660ms 
L.Condensation.PropAgree.back                      633ms 
L.Condensation.ExistAgree.back                     615ms 
L.Condensation.ShapedAgree.back                    586ms 
L.Condensation.ImpAgree.out                        584ms 
L.Condensation.ShapedAgree.out                     572ms 
L.Condensation.KFactsNS.KFacts                     563ms 
L.Condensation.BinaryShape.in'                     542ms 
L.Condensation.NegAgree.back                       521ms 
L.Condensation.SatGraphAgree.lift3                 471ms 
L.Condensation.ForallAgree.out                     449ms 
L.Condensation.TopAgree.back                       407ms 
L.Condensation.CertTransfer.cert-transfer          394ms 
L.Condensation.TmVal.in'                           389ms 
L.Condensation.BinShapeClosed._.target             389ms 
L.Condensation.EqAgree.out                         366ms 
L.Condensation.MemAgree.out                        364ms 
L.Condensation.ExistAgree.out                      361ms 
L.Condensation.TmVal.out                           358ms 
L.Condensation.PropAgree.out                       335ms 
L.Condensation.BndLeaf.keyK-of                     320ms 
L.Condensation.NegAgree.out                        310ms 
L.Condensation.AtomLeaf.keyK-of                    303ms 
L.Condensation.KFactsCons                          292ms 
L.Condensation.BndLeaf.all-fwd                     274ms 
L.Condensation.BinaryShape._.target                266ms 
L.Condensation.TopAgree.out                        249ms 
L.Condensation.BndLeaf.ex-fwd                      239ms 
L.Condensation.UnShapeClosed.in'                   227ms 
L.Condensation.BndLeaf.ex-bwd                      227ms 
L.Condensation.PropAgree.subB2T                    208ms 
L.Condensation.ShapesAgree.out                     184ms 
L.Condensation.SubValSuccB2T.out                   180ms 
L.Condensation.BndLeaf.all-bwd                     175ms 
L.Condensation.UnaryShape.in'                      175ms 
L.Condensation.ExistAgree.Leaf.fwd                 172ms 
L.Condensation.ExistAgree.Leaf.bwd                 169ms 
L.Condensation.LeafAgree.ic-back                   167ms 
L.Condensation.UnShapeClosed._.target              167ms 
L.Condensation.LeafAgree.ic-out                    162ms 
L.Condensation.ClosedAgree.out                     145ms 
L.Condensation.KeyAgree._._.go₂                    143ms 
L.Condensation.ClosedAgree.back                    143ms 
L.Condensation.TmBranch._._.tagAt                  132ms 
L.Condensation.ImpLeaf.yaBack                      125ms 
L.Condensation.ImpLeaf.ybBack                      121ms 
L.Condensation.AtomLeaf.fwd                        119ms 
L.Condensation.BinFormAgree._._._.go₃              118ms 
L.Condensation.AtomLeaf.bwd                        115ms 
L.Condensation.Lift12Back.back                     112ms 
L.Condensation.UnaryShape._.target                 111ms 
L.Condensation.BinFormAgree._._._._.shape          110ms 
L.Condensation.Lift12Back.s₁                       103ms 
L.Condensation.EnvSet.over→bnd                     103ms 
L.Condensation.SubValSuccB2T.back                  103ms 
L.Condensation.BinFrameAgree._.go                  101ms 
L.Condensation.Lift12Back.s₂                        99ms 
L.Condensation.BinFormAgree._._._.go₃               95ms 
L.Condensation.BotAgree.bot-in                      95ms 
L.Condensation.Lift12Back.s₃                        92ms 
L.Condensation.BothTmRel.back                       90ms 
L.Condensation.BothTmRel.out                        87ms 
L.Condensation.SatGraphB.Δ₀-twelveB                 86ms 
L.Condensation.TagAgree._.go                        85ms 
L.Condensation.DomainAgree.out                      85ms 
L.Condensation.Lift12Out.out                        84ms 
L.Condensation.Δ₀-prAtL                             82ms 
L.Condensation.BinFrameAgree.out                    82ms 
L.Condensation.Lift12Back.s₄                        81ms 
L.Condensation.Lift12Back.s₅                        77ms 
L.Condensation.UnFrameAgree._.go                    77ms 
L.Condensation.AtomLeaf.tmV-in                      77ms 
L.Condensation.BndLeaf.tmIn                         74ms 
L.Condensation.AtomLeaf.tmW-in                      74ms 
L.Condensation.EnvSet.bnd→over                      73ms 
L.Condensation.Lift12Back.s₆                        72ms 
L.Condensation.ExInRow.σL-out                       70ms 
L.Condensation.UnFormAgree._._.go₂                  69ms 
L.Condensation.UnFormAgree._._._.shape              69ms 
L.Condensation.PropAgree.opBack                     69ms 
L.Condensation.BndLeaf.tmOut                        68ms 
L.Condensation.AllInRow.σL-out                      67ms 
L.Condensation.AtomLeaf.tmV-out                     67ms 
L.Condensation.UnFormAgree._._.go₂                  67ms 
L.Condensation.TmAgree.in'                          65ms 
L.Condensation.TmAgree.out                          64ms 
L.Condensation.AtomLeaf.tmW-out                     64ms 
L.Condensation.EnvOneAgree.back                     64ms 
L.Condensation.KeyAgree._._.hp                      63ms 
L.Condensation.Lift12Back.s₇                        62ms 
L.Condensation.ImpRow.σL-out                        61ms 
L.Condensation.DefinesAgree._.go                    61ms 
L.Condensation.KeyAgree._.go                        59ms 
L.Condensation.EnvOneAgree.out                      59ms 
L.Condensation.DefinesAgree._._.eOne                58ms 
L.Condensation.SatGraphB.twelveB                    58ms 
L.Condensation.AndRow.σL-out                        57ms 
L.Condensation.UnFrameAgree.out                     57ms 
L.Condensation.OrRow.σL-out                         56ms 
L.Condensation.Lift12Back.s₈                        56ms 
L.Condensation.ExInRow.σL-in                        53ms 
L.Condensation.DefinesAgree._._.eB                  52ms 
L.Condensation.FstTmRel.out                         52ms 
L.Condensation.BinFullDecode.binFull-out            51ms 
L.Condensation.SatGraphB.Δ₀-satGraphB               51ms 
L.Condensation.EqRow.σL-out                         51ms 
L.Condensation.MemRow.σL-out                        50ms 
L.Condensation.BinFormAgree._._._._.ks              50ms 
L.Condensation.PropAgree.opOut                      50ms 
L.Condensation.BndLeaf.bodyS                        50ms 
L.Condensation.BndLeaf.bodySx                       49ms 
L.Condensation.Lift12Back.s₉                        48ms 
L.Condensation.ForallRow.σL-out                     48ms 
L.Condensation.AllInRow.σL-in                       48ms 
L.Condensation.TagAgree._.h'                        46ms 
L.Condensation.DomainAgree.back                     45ms 
L.Condensation.OrRow.σL-in                          45ms 
L.Condensation.BinFrameAgree._._.ks                 45ms 
L.Condensation.DefinesAgree._.go                    45ms 
L.Condensation.AndRow.σL-in                         44ms 
L.Condensation.NegRow.σL-out                        43ms 
L.Condensation.MemRow.σL-in                         43ms 
L.Condensation.ImpRow.σL-in                         42ms 
L.Condensation.ImpLeaf.envSet-out                   42ms 
L.Condensation.BinFullDecode.binFull-in             42ms 
L.Condensation.TmBranch._._._.tagPart               42ms 
L.Condensation.AtomLeaf.vK-lift                     41ms 
L.Condensation.UnFullDecode.unFull-out              41ms 
L.Condensation.EqRow.σL-in                          41ms 
L.Condensation.BotAgree.bot-out                     41ms 
L.Condensation.BndLeaf.ex-drop-w                    41ms 
L.Condensation.BinFormAgree._._.go₂                 41ms 
L.Condensation.ClauseDecode.existBnd-out            41ms 
L.Condensation.ClauseDecode.existBnd-in             40ms 
L.Condensation.ImpLeaf.envSet-back                  40ms 
L.Condensation.SuccSndRel._.go                      40ms 
L.Condensation.ImpLeaf.envShift-back                40ms 
L.Condensation.BinEnvDecode.binEnv-out              39ms 
L.Condensation.BinFormAgree.out                     39ms 
L.Condensation.Lift12Back.s₁₀                       39ms 
L.Condensation.ForallRow.σL-in                      38ms 
L.Condensation.ImpLeaf.envShift-out                 37ms 
L.Condensation.TopRow.σL-out                        37ms 
L.Condensation.BinShapeClosed.out                   37ms 
L.Condensation.BndLeaf.ex-lift-w                    37ms 
L.Condensation.NegRow.σL-in                         37ms 
L.Condensation.UnFullDecode.unFull-in               37ms 
L.Condensation.Δ₀-bndBodyEx                         36ms 
L.Condensation.Δ₀-bndBodyAll                        36ms 
L.Condensation.SuccSndRel._._.zK                    34ms 
L.Condensation.Clause.Δ₀-envBnd                     34ms 
L.Condensation.BinFormAgree._.go                    34ms 
L.Condensation.UnFormAgree._.go                     34ms 
L.Condensation.OneSuccRel._.go                      33ms 
L.Condensation.BndLeaf.ex-lift-x                    33ms 
L.Condensation.BndLeaf.ex-drop-x                    33ms 
L.Condensation.WitnessAgree._._.wK                  33ms 
L.Condensation.UnFormAgree.out                      33ms 
L.Condensation.UnEnvDecode.unEnv-out                33ms 
L.Condensation.BinFormAgree._._.go₂                 32ms 
L.Condensation.TagAgree.back                        32ms 
L.Condensation.Δ₀-envHypU                           31ms 
L.Condensation.ClauseDecode.σL-out                  31ms 
L.Condensation.EnvOneAgree.fwd                      30ms 
L.Condensation.PropAgree.coreS                      30ms 
L.Condensation.SuccSndRel.back                      30ms 
L.Condensation.UnFormAgree._._._.ks                 30ms 
L.Condensation.TopRow.σL-in                         30ms 
L.Condensation.OneSuccRel._._.zK                    29ms 
L.Condensation.BinaryShape.out                      29ms 
L.Condensation.AtomLeaf.tVS                         29ms 
L.Condensation.KeyAgree._.go                        29ms 
L.Condensation.AtomLeaf.tWS                         29ms 
L.Condensation.Δ₀-envHypB2T                         29ms 
L.Condensation.SatGraphB.satGraphB                  28ms 
L.Condensation.EnvOneAgree.bwd                      28ms 
L.Condensation.Δ₀-DefBodyB                          28ms 
L.Condensation.BndLeaf.tVS                          28ms 
L.Condensation.AtomLeaf.drop-w                      28ms 
L.Condensation.ImpLeaf.opBack                       28ms 
L.Condensation.Δ₀-envHypB2                          28ms 
L.Condensation.BinEnvDecode.binEnv-in               28ms 
L.Condensation.TmBranch._.go                        28ms 
L.Condensation.OneSuccRel.back                      28ms 
L.Condensation.ClauseDecode.σL-in                   27ms 
L.Condensation.DefinesAgree.fwd                     27ms 
L.Condensation.UnFrameAgree._._.ks                  27ms 
L.Condensation.AtomLeaf.drop-v                      27ms 
L.Condensation.Δ₀-envHypT                           26ms 
L.Condensation.DomainAgree._.go                     26ms 
L.Condensation.WitnessAgree.back                    26ms 
L.Condensation.TagAgree._.hp                        26ms 
L.Condensation.UnaryShape.out                       25ms 
L.Condensation.UnShapeClosed.out                    25ms 
L.Condensation.BotRow.σL-out                        25ms 
L.Condensation.AtomLeaf.lift-w                      25ms 
L.Condensation.TmBranch._._._.tz'                   25ms 
L.Condensation.UnBareDecode.unBare-out              25ms 
L.Condensation.WitnessAgree.out                     25ms 
L.Condensation.BinFormAgree._.go                    24ms 
L.Condensation.AtomLeaf.lift-v                      24ms 
L.Condensation.DefinesAgree.bwd                     24ms 
L.Condensation.Δ₀-sucAtL                            24ms 
L.Condensation.ExistAgree.Leaf.bodyK                24ms 
L.Condensation.BotRow.σL-in                         24ms 
L.Condensation.BndLeaf.eK                           23ms 
L.Condensation.DomainAgree.mem                      23ms 
L.Condensation.SubValB2T.out                        23ms 
L.Condensation.ExistAgree.Leaf.lift-x               23ms 
L.Condensation.BndLeaf.ySat                         22ms 
L.Condensation.ExistAgree.Leaf.xB                   22ms 
L.Condensation.ExistAgree.Leaf.drop-x               22ms 
L.Condensation.BothSameRel.out                      22ms 
L.Condensation.OneSuccRel.out                       21ms 
L.Condensation.BothSameRel.back                     21ms 
L.Condensation.ExistAgree.Leaf.bodyC                21ms 
L.Condensation.BndLeaf.xB                           21ms 
L.Condensation.AtomLeaf.wK                          21ms 
L.Condensation.SuccSndRel.out                       21ms 
L.Condensation.BndLeaf.ex-drop-e                    21ms 
L.Condensation.UnEnvDecode.unEnv-in                 21ms 
L.Condensation.TmBranch._._.hTagB                   21ms 
L.Condensation.ImpLeaf.opOut                        21ms 
L.Condensation.AtomLeaf.vK                          21ms 
L.Condensation.Δ₀-atomBodyB                         21ms 
L.Condensation.DefBodyB                             21ms 
L.Condensation.BndLeaf.wK'                          20ms 
L.Condensation.UnFormAgree._.go                     20ms 
L.Condensation.BndLeaf.ex-lift-e                    19ms 
L.Condensation.BndLeaf.cSat                         19ms 
L.Condensation.AllInAgree.φB                        19ms 
L.Condensation.ShapesAgree.back                     19ms 
L.Condensation.Δ₀-shapesBS                          19ms 
L.Condensation.Clause.envBnd                        18ms 
L.Condensation.AtomLeaf.tVM                         18ms 
L.Condensation.EnvSet.app3                          18ms 
L.Condensation.EnvSet.app3'                         18ms 
L.Condensation.AtomLeaf.tWM                         18ms 
L.Condensation.TagAgree.out                         17ms 
L.Condensation.ExInAgree.φB                         17ms 
L.Condensation.UnBareDecode.unBare-in               16ms 
L.Condensation.EnvSet.app2                          16ms 
L.Condensation.EnvSet.entryK                        16ms 
L.Condensation.KeyAgree.back                        16ms 
L.Condensation.BndLeaf.tVM                          16ms 
L.Condensation.Δ₀-arTagPairBS                       16ms 
L.Condensation.keyU                                 16ms 
L.Condensation.ChainZ.xsingl∈prxy                   16ms 
L.Condensation.SatGraphAgree._.eK                   15ms 
L.Condensation.ExistAgree.Leaf.exist-drop           15ms 
L.Condensation.GraphEntry.bin                       15ms 
L.Condensation.DefinesAgree.back                    15ms 
L.Condensation.ExistAgree.Leaf.exist-lift-step      15ms 
L.Condensation.KeyAgree.out                         15ms 
L.Condensation.SatGraphAgree.sh3                    15ms 
L.Condensation.extAtB→extAt                         15ms 
L.Condensation.ExistAgree.Leaf.exist-lift           15ms 
L.Condensation.succU                                15ms 
L.Condensation.Δ₀-envBndGen                         14ms 
L.Condensation.GraphEntry.un                        14ms 
L.Condensation.DefinesAgree.out                     14ms 
L.Condensation.Δ₀-arTagPairB                        13ms 
L.Condensation.KeyAgree._._.te'                     13ms 
L.Condensation.OneSameRel.back                      13ms 
L.Condensation.AtomLeaf.cSat                        13ms 
L.Condensation.Or.Δ₀-orBndAt                        13ms 
L.Condensation.Imp.Δ₀-impBndAt                      13ms 
L.Condensation.TmBranch._.go                        13ms 
L.Condensation.And.Δ₀-andBndAt                      13ms 
L.Condensation.OneSameRel.out                       13ms 
L.Condensation.BinFormAgree.back                    12ms 
L.Condensation.ExIn.Δ₀-exInBndAt                    12ms 
L.Condensation.MemAgree.φB                          12ms 
