Checking LJ-1-159.ProbeLJ1159E (/Users/alsg/Agentic/Bedrock/agents/tasks/LJ-1-159/ProbeLJ1159E.agda).
Total                                                 43,268ms 
Miscellaneous                                          4,317ms 
LJ-1-159.ProbeLJ1159E.Chain._._._._.δ∈κ                6,493ms 
LJ-1-159.ProbeLJ1159E.Guard._.ω∈κ                      6,391ms 
LJ-1-159.ProbeLJ1159E.Guard.κ-not-sucω                 4,425ms 
LJ-1-159.ProbeLJ1159E.LeastCardInj.oκ                  4,292ms 
LJ-1-159.ProbeLJ1159E.Chain._._._.leastα               4,217ms 
LJ-1-159.ProbeLJ1159E.Chain._._.split                  2,888ms 
LJ-1-159.ProbeLJ1159E.Chain._.go                       2,801ms 
LJ-1-159.ProbeLJ1159E.LeastCardInj.κ-inj               2,780ms 
LJ-1-159.ProbeLJ1159E.ShiftAbs._.go                    1,630ms 
LJ-1-159.ProbeLJ1159E.LeastCardInj.κ-min-at            1,332ms 
LJ-1-159.ProbeLJ1159E.LeastCardInj.κ∈sα                1,312ms 
LJ-1-159.ProbeLJ1159E.Guard.Runs.sq-sucω                 110ms 
LJ-1-159.ProbeLJ1159E.InitialCase._._._.shiftα            39ms 
LJ-1-159.ProbeLJ1159E.Guard.shiftω↪                       34ms 
LJ-1-159.ProbeLJ1159E.ShiftAbs.shift-dec                  28ms 
LJ-1-159.ProbeLJ1159E.NonInitial._._._.inj                23ms 
LJ-1-159.ProbeLJ1159E.NonInitial._.pq                     22ms 
LJ-1-159.ProbeLJ1159E.NumeralPresentation._.nm            17ms 
LJ-1-159.ProbeLJ1159E.InitialCase._._._._.α∈ω             13ms 
LJ-1-159.ProbeLJ1159E.NumeralPresentation.to∘numeralω     13ms 
LJ-1-159.ProbeLJ1159E.NonInitial.j-inj                    13ms 
LJ-1-159.ProbeLJ1159E.ShiftAbs._.go                       12ms 
LJ-1-159.ProbeLJ1159E.NumeralPresentation.pairω-inj       12ms 
LJ-1-159.ProbeLJ1159E.NumeralPresentation.numeralω∘to     11ms 
LJ-1-159.ProbeLJ1159E.ShiftAbs._.go                       10ms 
LJ-1-159.ProbeLJ1159E.InitialCase._._.go2                 10ms 
LJ-1-159.ProbeLJ1159E.Guard.sucω∉ω                        10ms 
