Checking LJ-1-283.ControlEnv (/Users/alsg/Agentic/Bedrock/agents/tasks/LJ-1-283/ControlEnv.lagda.md).
Total                                        479,311ms 
Miscellaneous                                  2,787ms 
LJ-1-283.ControlEnv.SupplyEnv._._.sucV∈      475,710ms 
LJ-1-283.ControlEnv.SupplyEnv.someEnv            116ms 
LJ-1-283.ControlEnv.SupplyEnv._._.sub₁            48ms 
LJ-1-283.ControlEnv.SupplyEnv.envInK-imp          41ms 
LJ-1-283.ControlEnv.SupplyEnv.envInK-mem          38ms 
LJ-1-283.ControlEnv.SupplyEnv.envInK-gen          36ms 
LJ-1-283.ControlEnv.SupplyEnv.envInK-neg          36ms 
LJ-1-283.ControlEnv.SupplyEnv.envInK-top          34ms 
LJ-1-283.ControlEnv.SupplyEnv.envK-imp            32ms 
LJ-1-283.ControlEnv.SupplyEnv.envK-allin          32ms 
LJ-1-283.ControlEnv.SupplyEnv._.go                30ms 
LJ-1-283.ControlEnv.SupplyEnv.envK-mem            26ms 
LJ-1-283.ControlEnv.SupplyEnv.envK-neg            25ms 
LJ-1-283.ControlEnv.SupplyEnv.envK-top            23ms 
LJ-1-283.ControlEnv.SupplyEnv.envOverAt-in        23ms 
LJ-1-283.ControlEnv.SupplyEnv._.fwd               20ms 
LJ-1-283.ControlEnv.SupplyEnv.envK-gen            20ms 
LJ-1-283.ControlEnv.SupplyEnv._._._._.sat         19ms 
LJ-1-283.ControlEnv.SupplyEnv._._._.member        18ms 
LJ-1-283.ControlEnv.SupplyEnv._._.ident           18ms 
LJ-1-283.ControlEnv.SupplyEnv.envSetAt-ident      18ms 
LJ-1-283.ControlEnv.SupplyEnv._.EK                16ms 
LJ-1-283.ControlEnv.SupplyEnv._.arityK₀           15ms 
LJ-1-283.ControlEnv.SupplyEnv._._.sub₂            14ms 
LJ-1-283.ControlEnv.SupplyEnv._.envInK₀           14ms 
LJ-1-283.ControlEnv.SupplyEnv._._.a∈δ₂            12ms 
LJ-1-283.ControlEnv.SupplyEnv.B₀∈σ                12ms 
LJ-1-283.ControlEnv.SupplyEnv.envSetK             12ms 
LJ-1-283.ControlEnv.SupplyEnv._.henvB             11ms 
LJ-1-283.ControlEnv.SupplyEnv._._.pair∈δ₃         10ms 
LJ-1-283.ControlEnv.SupplyEnv.genEq               10ms 
LJ-1-283.ControlEnv.SupplyEnv._._.sgl∈δ₂          10ms 
LJ-1-283.ControlEnv.SupplyEnv._._.h₂              10ms 
