Checking L.Coding.EnvSupply (/Users/alsg/Agentic/Bedrock/src/L/Coding/EnvSupply.lagda.md).
Total                                            5,989ms 
Miscellaneous                                    3,350ms 
L.Coding.EnvSupply.Fact.ConsKClosed._.e'eq         147ms 
L.Coding.EnvSupply.Fact.ConsK._.e'eq               144ms 
L.Coding.EnvSupply.Fact.ConsKClosed._.e'eq         133ms 
L.Coding.EnvSupply.Fact.ConsK._.e'eq               126ms 
L.Coding.EnvSupply.SupplyEnv.someEnv               120ms 
L.Coding.EnvSupply.SupplyEnv._._.sub₁               85ms 
L.Coding.EnvSupply.Fact.ConsKClosed.consK-allin     77ms 
L.Coding.EnvSupply.Fact.ConsKClosed.consK-forall    66ms 
L.Coding.EnvSupply.Fact.ConsK.consK-allin           61ms 
L.Coding.EnvSupply.Fact.subKSucc-gen                59ms 
L.Coding.EnvSupply.SupplyMerge._.memTr              57ms 
L.Coding.EnvSupply.Fact.ConsK.consK-forall          54ms 
L.Coding.EnvSupply.SupplyMerge._.go                 44ms 
L.Coding.EnvSupply.SupplyEnv.envInK-imp             43ms 
L.Coding.EnvSupply.Fact.EnvClosure.envConsK         40ms 
L.Coding.EnvSupply.SupplyEnv.envInK-mem             39ms 
L.Coding.EnvSupply.SupplyEnv.envInK-neg             38ms 
L.Coding.EnvSupply.SupplyEnv.envInK-gen             38ms 
L.Coding.EnvSupply.SupplyEnv.envInK-top             35ms 
L.Coding.EnvSupply.SupplyMerge._.step               34ms 
L.Coding.EnvSupply.SupplyEnv.envK-allin             34ms 
L.Coding.EnvSupply.SupplyMerge._.sub                34ms 
L.Coding.EnvSupply.SupplyEnv.envK-imp               34ms 
L.Coding.EnvSupply.SupplyEnv._.go                   34ms 
L.Coding.EnvSupply.SupplyMerge._.sub                34ms 
L.Coding.EnvSupply.Fact.subK₁-imp                   33ms 
L.Coding.EnvSupply.SupplyMerge._.sup                32ms 
L.Coding.EnvSupply.Fact.subK₀-imp                   32ms 
L.Coding.EnvSupply.Fact.valV                        31ms 
L.Coding.EnvSupply.Fact.wKfact                      30ms 
L.Coding.EnvSupply.Fact.valW                        29ms 
L.Coding.EnvSupply.SupplyMerge._.sub                29ms 
L.Coding.EnvSupply.Fact.subK-allin                  28ms 
L.Coding.EnvSupply.SupplyMerge._.all                28ms 
L.Coding.EnvSupply.Fact.tmValK                      28ms 
L.Coding.EnvSupply.Fact.subK₀-and                   28ms 
L.Coding.EnvSupply.Fact.ConsKClosed.consK-exist     28ms 
L.Coding.EnvSupply.Fact.subK₁-and                   28ms 
L.Coding.EnvSupply.SupplyEnv.envK-neg               27ms 
L.Coding.EnvSupply.SupplyEnv.envK-mem               27ms 
L.Coding.EnvSupply.Fact._.varCase                   27ms 
L.Coding.EnvSupply.Fact.subK-neg                    25ms 
L.Coding.EnvSupply.Fact.subK-un                     25ms 
L.Coding.EnvSupply.SupplyEnv.envK-top               24ms 
L.Coding.EnvSupply.Fact.subK-gen                    23ms 
L.Coding.EnvSupply.Fact.valK                        22ms 
L.Coding.EnvSupply.SupplyEnv.envOverAt-in           22ms 
L.Coding.EnvSupply.SupplyEnv._._.δ₄∈λ               22ms 
L.Coding.EnvSupply.SupplyEnv.envK-gen               21ms 
L.Coding.EnvSupply.Fact.ConsK.consK-exist           20ms 
L.Coding.EnvSupply.SupplyEnv._._._.member           20ms 
L.Coding.EnvSupply.SupplyEnv._.fwd                  20ms 
L.Coding.EnvSupply.SupplyEnv._._._._.sat            20ms 
L.Coding.EnvSupply.Fact.valK-un                     20ms 
L.Coding.EnvSupply.SupplyEnv._.EK                   18ms 
L.Coding.EnvSupply.SupplyEnv.envSetAt-ident         17ms 
L.Coding.EnvSupply.Fact._.conCase                   17ms 
L.Coding.EnvSupply.SupplyEnv._._.ident              16ms 
L.Coding.EnvSupply.SupplyEnv._.arityK₀              15ms 
L.Coding.EnvSupply.SupplyEnv._.envInK₀              15ms 
L.Coding.EnvSupply.Lset-fin                         15ms 
L.Coding.EnvSupply.SupplyEnv.envSetK                14ms 
L.Coding.EnvSupply.SupplyEnv.genEq                  13ms 
L.Coding.EnvSupply.SupplyMerge.finSetK              13ms 
L.Coding.EnvSupply.SupplyEnv._._.sub₂               12ms 
L.Coding.EnvSupply.SupplyMerge.finSup               12ms 
L.Coding.EnvSupply.SupplyEnv._._.pair∈δ₃            11ms 
L.Coding.EnvSupply.Fact.EnvClosure.giK              11ms 
L.Coding.EnvSupply.SupplyEnv.union∈Lset-suc         11ms 
L.Coding.EnvSupply.SupplyEnv._._.a∈δ₂               11ms 
L.Coding.EnvSupply.SupplyMerge._.oτ                 10ms 
L.Coding.EnvSupply.SupplyEnv._._.sgl∈δ₂             10ms 
