Checking L.Coding.EnvSupply (/Users/alsg/Agentic/Bedrock/src/L/Coding/EnvSupply.lagda.md).
Total                                            495,055ms 
Miscellaneous                                      3,256ms 
L.Coding.EnvSupply.SupplyEnv._._.sucV∈           489,374ms 
L.Coding.EnvSupply.Fact.ConsKClosed._.e'eq           132ms 
L.Coding.EnvSupply.Fact.ConsK._.e'eq                 131ms 
L.Coding.EnvSupply.Fact.ConsK._.e'eq                 125ms 
L.Coding.EnvSupply.Fact.ConsKClosed._.e'eq           123ms 
L.Coding.EnvSupply.SupplyEnv.someEnv                 112ms 
L.Coding.EnvSupply.SupplyEnv._.go                     69ms 
L.Coding.EnvSupply.Fact.ConsKClosed.consK-allin       69ms 
L.Coding.EnvSupply.Fact.ConsKClosed.consK-forall      60ms 
L.Coding.EnvSupply.Fact.ConsK.consK-allin             57ms 
L.Coding.EnvSupply.SupplyEnv._._.sub₁                 55ms 
L.Coding.EnvSupply.Fact.subKSucc-gen                  54ms 
L.Coding.EnvSupply.Fact.ConsK.consK-forall            49ms 
L.Coding.EnvSupply.SupplyMerge._.memTr                49ms 
L.Coding.EnvSupply.SupplyEnv.envInK-imp               40ms 
L.Coding.EnvSupply.SupplyMerge._.go                   39ms 
L.Coding.EnvSupply.Fact.EnvClosure.envConsK           39ms 
L.Coding.EnvSupply.SupplyEnv.envInK-gen               38ms 
L.Coding.EnvSupply.SupplyEnv.envInK-mem               35ms 
L.Coding.EnvSupply.SupplyEnv.envInK-neg               35ms 
L.Coding.EnvSupply.SupplyEnv.envK-imp                 33ms 
L.Coding.EnvSupply.Fact.subK₁-imp                     33ms 
L.Coding.EnvSupply.SupplyMerge._.step                 31ms 
L.Coding.EnvSupply.SupplyMerge._.sub                  30ms 
L.Coding.EnvSupply.SupplyEnv.envInK-top               29ms 
L.Coding.EnvSupply.Fact.subK₀-imp                     29ms 
L.Coding.EnvSupply.SupplyMerge._.sub                  29ms 
L.Coding.EnvSupply.SupplyMerge._.sup                  28ms 
L.Coding.EnvSupply.SupplyEnv.envK-allin               28ms 
L.Coding.EnvSupply.Fact.wKfact                        28ms 
L.Coding.EnvSupply.Fact.valV                          28ms 
L.Coding.EnvSupply.Fact.valW                          27ms 
L.Coding.EnvSupply.Fact.subK-allin                    26ms 
L.Coding.EnvSupply.Fact._.varCase                     26ms 
L.Coding.EnvSupply.SupplyMerge._.sub                  26ms 
L.Coding.EnvSupply.Fact.subK₀-and                     25ms 
L.Coding.EnvSupply.SupplyEnv.envK-neg                 25ms 
L.Coding.EnvSupply.SupplyEnv.envK-mem                 24ms 
L.Coding.EnvSupply.Fact.subK₁-and                     24ms 
L.Coding.EnvSupply.Fact.ConsKClosed.consK-exist       24ms 
L.Coding.EnvSupply.Fact.subK-un                       23ms 
L.Coding.EnvSupply.Fact.subK-neg                      23ms 
L.Coding.EnvSupply.SupplyMerge._.all                  23ms 
L.Coding.EnvSupply.Fact.valK                          22ms 
L.Coding.EnvSupply.SupplyEnv.envK-top                 22ms 
L.Coding.EnvSupply.Fact.valK-un                       21ms 
L.Coding.EnvSupply.Fact.tmValK                        21ms 
L.Coding.EnvSupply.SupplyEnv.envOverAt-in             21ms 
L.Coding.EnvSupply.Fact.subK-gen                      20ms 
L.Coding.EnvSupply.SupplyEnv.envSetAt-ident           20ms 
L.Coding.EnvSupply.Fact.ConsK.consK-exist             20ms 
L.Coding.EnvSupply.SupplyEnv._._._.member             20ms 
L.Coding.EnvSupply.SupplyEnv._._._._.sat              19ms 
L.Coding.EnvSupply.SupplyEnv.envK-gen                 19ms 
L.Coding.EnvSupply.Fact._.conCase                     18ms 
L.Coding.EnvSupply.SupplyEnv._._.ident                16ms 
L.Coding.EnvSupply.SupplyEnv._.envInK₀                16ms 
L.Coding.EnvSupply.SupplyEnv._.EK                     16ms 
L.Coding.EnvSupply.SupplyEnv._.fwd                    13ms 
L.Coding.EnvSupply.SupplyEnv._._.a∈δ₂                 13ms 
L.Coding.EnvSupply.SupplyEnv.genEq                    13ms 
L.Coding.EnvSupply.SupplyMerge.∪-ord                  13ms 
L.Coding.EnvSupply.SupplyEnv._._.sub₂                 12ms 
L.Coding.EnvSupply.SupplyEnv.envSetK                  12ms 
L.Coding.EnvSupply.SupplyEnv._._.pair∈δ₃              12ms 
L.Coding.EnvSupply.SupplyEnv._.arityK₀                11ms 
L.Coding.EnvSupply.SupplyEnv._.bwd                    11ms 
L.Coding.EnvSupply.SupplyEnv.union∈Lset-suc           11ms 
L.Coding.EnvSupply.SupplyEnv._._.sgl∈δ₂               11ms 
L.Coding.EnvSupply.SupplyMerge.finSup                 11ms 
L.Coding.EnvSupply.SupplyEnv.transK                   10ms 
L.Coding.EnvSupply.Lset-fin                           10ms 
