Checking LJ-1-292.ControlKey (/Users/alsg/Agentic/Bedrock/agents/tasks/LJ-1-292/ControlKey.lagda.md).
Total                                   3,974ms 
Miscellaneous                           2,417ms 
LJ-1-292.ControlKey.KeyOver._.pair∈       261ms 
LJ-1-292.ControlKey.Δ₀-prAtLK             125ms 
LJ-1-292.ControlKey.Carve.bddEnvFoB        83ms 
LJ-1-292.ControlKey.Join.outSet            69ms 
LJ-1-292.ControlKey.Join._.prs             63ms 
LJ-1-292.ControlKey.Land.out               58ms 
LJ-1-292.ControlKey.FiniteSup._.memTr      54ms 
LJ-1-292.ControlKey.Land.into              54ms 
LJ-1-292.ControlKey.Join.slots             49ms 
LJ-1-292.ControlKey.FiniteSup._.go         43ms 
LJ-1-292.ControlKey._._.sub₁               37ms 
LJ-1-292.ControlKey.EnvClosure.envConsK    37ms 
LJ-1-292.ControlKey.Join._.pin             37ms 
LJ-1-292.ControlKey.FiniteSup._.step       32ms 
LJ-1-292.ControlKey.Join._.sv              32ms 
LJ-1-292.ControlKey.FiniteSup._.sub        31ms 
LJ-1-292.ControlKey.FiniteSup._.sup        31ms 
LJ-1-292.ControlKey.FiniteSup._.sub        31ms 
LJ-1-292.ControlKey.FiniteSup._.sub        28ms 
LJ-1-292.ControlKey.Join._.dom             28ms 
LJ-1-292.ControlKey.FiniteSup._.all        27ms 
LJ-1-292.ControlKey.Join._.prs             27ms 
LJ-1-292.ControlKey.KeyOver.splitKey∈      26ms 
LJ-1-292.ControlKey.Join._.dom             23ms 
LJ-1-292.ControlKey.Join._.ap              23ms 
LJ-1-292.ControlKey.Join._.ap'             23ms 
LJ-1-292.ControlKey.Join._.sv              21ms 
LJ-1-292.ControlKey.Desc.Δ₀-envFoB         19ms 
LJ-1-292.ControlKey.KeyOver.fromω          19ms 
LJ-1-292.ControlKey.setSub                 15ms 
LJ-1-292.ControlKey.Carve.ψ                15ms 
LJ-1-292.ControlKey._._._.member           15ms 
LJ-1-292.ControlKey.Land.landed            14ms 
LJ-1-292.ControlKey.Land.fibL              12ms 
LJ-1-292.ControlKey.FiniteSup.finSetK      12ms 
LJ-1-292.ControlKey.FiniteSup.∪-ord        12ms 
LJ-1-292.ControlKey.Join.intoSet           11ms 
LJ-1-292.ControlKey._._._._.sat            11ms 
LJ-1-292.ControlKey.FiniteSup.finSup       11ms 
LJ-1-292.ControlKey.FiniteSup._.oτ         10ms 
LJ-1-292.ControlKey._.mem                  10ms 
