Checking LJ-1-311.KeyHalf (/Users/alsg/Agentic/Bedrock/agents/tasks/LJ-1-311/KeyHalf.lagda.md).
Total                                3,859ms 
Miscellaneous                        2,319ms 
LJ-1-311.KeyHalf.KeyOver.paramEnv∈     242ms 
LJ-1-311.KeyHalf.Δ₀-prAtLK             118ms 
LJ-1-311.KeyHalf.FiniteSup._._.a⊆b'     83ms 
LJ-1-311.KeyHalf.Carve.bddEnvFoB        78ms 
LJ-1-311.KeyHalf.Join.outSet            65ms 
LJ-1-311.KeyHalf.Join._.prs             58ms 
LJ-1-311.KeyHalf.Land.out               54ms 
LJ-1-311.KeyHalf.FiniteSup._.memTr      54ms 
LJ-1-311.KeyHalf.Land.into              53ms 
LJ-1-311.KeyHalf.Join.slots             44ms 
LJ-1-311.KeyHalf._._.sub₁               41ms 
LJ-1-311.KeyHalf.EnvClosure.envConsK    40ms 
LJ-1-311.KeyHalf.FiniteSup._.go         40ms 
LJ-1-311.KeyHalf.FiniteSup._.step       33ms 
LJ-1-311.KeyHalf.FiniteSup._.sub        32ms 
LJ-1-311.KeyHalf.Join._.pin             32ms 
LJ-1-311.KeyHalf.FiniteSup._.sub        31ms 
LJ-1-311.KeyHalf.Join._.sv              30ms 
LJ-1-311.KeyHalf.FiniteSup._.sup        30ms 
LJ-1-311.KeyHalf.Join._.prs             30ms 
LJ-1-311.KeyHalf.FiniteSup._.sub        27ms 
LJ-1-311.KeyHalf.Join._.dom             26ms 
LJ-1-311.KeyHalf.FiniteSup._.all        25ms 
LJ-1-311.KeyHalf.KeyOver.splitKey∈      24ms 
LJ-1-311.KeyHalf.Join._.ap              22ms 
LJ-1-311.KeyHalf.Join._.dom             22ms 
LJ-1-311.KeyHalf.Join._.sv              20ms 
LJ-1-311.KeyHalf.Join._.ap'             20ms 
LJ-1-311.KeyHalf.KeyOver.fromω          18ms 
LJ-1-311.KeyHalf.Desc.Δ₀-envFoB         16ms 
LJ-1-311.KeyHalf._._._.member           15ms 
LJ-1-311.KeyHalf.Land.landed            14ms 
LJ-1-311.KeyHalf._._._._.sat            13ms 
LJ-1-311.KeyHalf.Carve.ψ                12ms 
LJ-1-311.KeyHalf.Join.intoSet           12ms 
LJ-1-311.KeyHalf.FiniteSup.finSup       12ms 
LJ-1-311.KeyHalf.Land.fibL              12ms 
LJ-1-311.KeyHalf.setSub                 11ms 
LJ-1-311.KeyHalf.EnvClosure.prK         10ms 
