# arm f0-nofield
# file agents/tasks/LJ-1-331/CondF0.lagda.md
# flags --profile=definitions 
# GHCRTS -A64m -I0 -M8g
# agda slots before 1
# load before  2:09  up 2 days,  4:31, 3 users, load averages: 13.59 11.36 10.77
# started 2026-08-16 02:09:21
Checking LJ-1-331.CondF0 (/Users/alsg/Agentic/Bedrock/agents/tasks/LJ-1-331/CondF0.lagda.md).
Total                                      31,932ms 
Miscellaneous                              13,352ms 
LJ-1-331.CondF0.PropAgree.subB2T-back       3,424ms 
LJ-1-331.CondF0.Exist.Δ₀-existBndAt           846ms 
LJ-1-331.CondF0.Forall.Δ₀-bodyFφ              795ms 
LJ-1-331.CondF0._.dc                          744ms 
LJ-1-331.CondF0.ForallAgree.back              727ms 
LJ-1-331.CondF0._.dc                          717ms 
LJ-1-331.CondF0.Clause.Δ₀-bodyBnd             675ms 
LJ-1-331.CondF0.PropAgree.back                673ms 
LJ-1-331.CondF0.ForallAgree.out               645ms 
LJ-1-331.CondF0.BinaryShape.in'               618ms 
LJ-1-331.CondF0.NegAgree.back                 566ms 
LJ-1-331.CondF0.NegAgree.out                  481ms 
LJ-1-331.CondF0.TopAgree.back                 440ms 
LJ-1-331.CondF0.TopRow.σL-out                 437ms 
LJ-1-331.CondF0.TmVal.in'                     421ms 
LJ-1-331.CondF0.CertTransfer.cert-transfer    403ms 
LJ-1-331.CondF0.TmVal.out                     386ms 
LJ-1-331.CondF0.PropAgree.out                 380ms 
LJ-1-331.CondF0.TopAgree.out                  353ms 
LJ-1-331.CondF0.BinaryShape._.target          275ms 
LJ-1-331.CondF0.PropAgree.subB2T              238ms 
LJ-1-331.CondF0.SubValSuccB2T.out             193ms 
LJ-1-331.CondF0.UnFullDecode.unFull-in        193ms 
LJ-1-331.CondF0.UnaryShape.in'                187ms 
LJ-1-331.CondF0.PropAgree.keyK₀               175ms 
LJ-1-331.CondF0.UnaryShape._.target           118ms 
LJ-1-331.CondF0.SubValSuccB2T.back            117ms 
LJ-1-331.CondF0.EnvSet.over→bnd               110ms 
LJ-1-331.CondF0.SatGraphB.Δ₀-twelveB          102ms 
LJ-1-331.CondF0.BotAgree.bot-in               101ms 
LJ-1-331.CondF0.Δ₀-prAtL                       82ms 
LJ-1-331.CondF0.EnvSet.bnd→over                78ms 
LJ-1-331.CondF0.AllInRow.σL-out                75ms 
LJ-1-331.CondF0.ExInRow.σL-out                 73ms 
LJ-1-331.CondF0.PropAgree.opBack               72ms 
LJ-1-331.CondF0.AndRow.σL-out                  63ms 
LJ-1-331.CondF0.SatGraphB.twelveB              62ms 
LJ-1-331.CondF0.OrRow.σL-out                   60ms 
LJ-1-331.CondF0.ImpRow.σL-out                  59ms 
LJ-1-331.CondF0.SatGraphB.Δ₀-satGraphB         59ms 
LJ-1-331.CondF0.AllInRow.σL-in                 57ms 
LJ-1-331.CondF0.BinFullDecode.binFull-out      55ms 
LJ-1-331.CondF0.EqRow.σL-out                   55ms 
LJ-1-331.CondF0.MemRow.σL-out                  51ms 
LJ-1-331.CondF0.ExInRow.σL-in                  50ms 
LJ-1-331.CondF0.NegRow.σL-out                  49ms 
LJ-1-331.CondF0.PropAgree.opOut                49ms 
LJ-1-331.CondF0.OrRow.σL-in                    49ms 
LJ-1-331.CondF0.ForallRow.σL-out               49ms 
LJ-1-331.CondF0.ImpRow.σL-in                   47ms 
LJ-1-331.CondF0.BinFullDecode.binFull-in       46ms 
LJ-1-331.CondF0.UnFullDecode.unFull-out        45ms 
LJ-1-331.CondF0.AndRow.σL-in                   44ms 
LJ-1-331.CondF0.BinEnvDecode.binEnv-out        43ms 
LJ-1-331.CondF0.ClauseDecode.existBnd-out      43ms 
LJ-1-331.CondF0.EqRow.σL-in                    42ms 
LJ-1-331.CondF0.BotAgree.bot-out               41ms 
LJ-1-331.CondF0.MemRow.σL-in                   39ms 
LJ-1-331.CondF0.ClauseDecode.existBnd-in       38ms 
LJ-1-331.CondF0.Δ₀-bndBodyEx                   38ms 
LJ-1-331.CondF0.NegRow.σL-in                   37ms 
LJ-1-331.CondF0.Δ₀-bndBodyAll                  37ms 
LJ-1-331.CondF0.UnEnvDecode.unEnv-out          36ms 
LJ-1-331.CondF0.ForallRow.σL-in                36ms 
LJ-1-331.CondF0.Clause.Δ₀-envBnd               34ms 
LJ-1-331.CondF0.Δ₀-DefBodyB                    34ms 
LJ-1-331.CondF0.Δ₀-envHypU                     33ms 
LJ-1-331.CondF0.SatGraphB.satGraphB            33ms 
LJ-1-331.CondF0.PropAgree.coreS                32ms 
LJ-1-331.CondF0.BinaryShape.out                32ms 
LJ-1-331.CondF0.Δ₀-envHypB2T                   31ms 
LJ-1-331.CondF0.Δ₀-envHypB2                    31ms 
LJ-1-331.CondF0.BinEnvDecode.binEnv-in         31ms 
LJ-1-331.CondF0.Δ₀-envHypT                     30ms 
LJ-1-331.CondF0.ClauseDecode.σL-out            29ms 
LJ-1-331.CondF0.TopRow.σL-in                   29ms 
LJ-1-331.CondF0.BotRow.σL-out                  29ms 
LJ-1-331.CondF0.UnBareDecode.unBare-out        28ms 
LJ-1-331.CondF0.UnEnvDecode.unEnv-in           26ms 
LJ-1-331.CondF0.ClauseDecode.σL-in             26ms 
LJ-1-331.CondF0.SubValB2T.out                  26ms 
LJ-1-331.CondF0.Δ₀-atomBodyB                   23ms 
LJ-1-331.CondF0.UnaryShape.out                 23ms 
LJ-1-331.CondF0.BotRow.σL-in                   22ms 
LJ-1-331.CondF0.Δ₀-sucAtL                      22ms 
LJ-1-331.CondF0.DefBodyB                       20ms 
LJ-1-331.CondF0.keyU                           20ms 
LJ-1-331.CondF0.EnvSet.app3                    20ms 
LJ-1-331.CondF0.Clause.envBnd                  19ms 
LJ-1-331.CondF0.Δ₀-shapesBS                    19ms 
LJ-1-331.CondF0.EnvSet.app3'                   19ms 
LJ-1-331.CondF0.UnBareDecode.unBare-in         18ms 
LJ-1-331.CondF0.EnvSet.entryK                  17ms 
LJ-1-331.CondF0.EnvSet.app2                    17ms 
LJ-1-331.CondF0.Δ₀-envBndGen                   16ms 
LJ-1-331.CondF0.GraphEntry.bin                 16ms 
LJ-1-331.CondF0.ChainZ.xsingl∈prxy             16ms 
LJ-1-331.CondF0.extAtB→extAt                   16ms 
LJ-1-331.CondF0.Δ₀-arTagPairBS                 14ms 
LJ-1-331.CondF0.Or.Δ₀-orBndAt                  14ms 
LJ-1-331.CondF0.Δ₀-arTagPairB                  14ms 
LJ-1-331.CondF0.succU                          14ms 
LJ-1-331.CondF0.Imp.Δ₀-impBndAt                13ms 
LJ-1-331.CondF0.AllIn.Δ₀-allInBndAt            13ms 
LJ-1-331.CondF0.Neg.Δ₀-negBndAt                13ms 
LJ-1-331.CondF0.bndBodyEx                      13ms 
LJ-1-331.CondF0.Δ₀-hasWitnessBS                13ms 
LJ-1-331.CondF0.ChainZ.entryK-tied-zK          12ms 
LJ-1-331.CondF0.Δ₀-binFullAt                   12ms 
LJ-1-331.CondF0.EnvSet.out                     12ms 
LJ-1-331.CondF0.bndBodyAll                     12ms 
LJ-1-331.CondF0.EnvSet.memE-at                 12ms 
LJ-1-331.CondF0.atomBodyB                      12ms 
LJ-1-331.CondF0.ChainZ.ysingl∈prxy             12ms 
LJ-1-331.CondF0.And.Δ₀-andBndAt                12ms 
LJ-1-331.CondF0.Δ₀-propBodyB                   12ms 
LJ-1-331.CondF0.Forall.Δ₀-forallBndAt          12ms 
LJ-1-331.CondF0.GraphEntry.un                  11ms 
LJ-1-331.CondF0.ChainZ.prʟxy∈z                 11ms 
LJ-1-331.CondF0._.d1                           11ms 
LJ-1-331.CondF0.ChainZ.xK'                     11ms 
LJ-1-331.CondF0.SubValB2T.back                 10ms 
LJ-1-331.CondF0.BinaryShape.innerK             10ms 
LJ-1-331.CondF0.Δ₀-unFullAt                    10ms 
LJ-1-331.CondF0.EraseTransfer.σL-transfer      10ms 
LJ-1-331.CondF0.EnvSet.memE-bnd                10ms 
LJ-1-331.CondF0.EnvSet.arSubK                  10ms 
LJ-1-331.CondF0.ExIn.Δ₀-exInBndAt              10ms 
LJ-1-331.CondF0.Δ₀-isTmBS                      10ms 
LJ-1-331.CondF0.Clause.Δ₀-shapeBnd             10ms 
# wall seconds 33
# exit 0
# agda slots after 0
# load after  2:09  up 2 days,  4:32, 3 users, load averages: 12.92 11.44 10.83
