# arm g4-kfacts-shaped
# file agents/tasks/LJ-1-331/CondG4.lagda.md
# flags --profile=definitions 
# GHCRTS -A64m -I0 -M8g
# agda slots before 0
# load before  2:14  up 2 days,  4:36, 3 users, load averages: 8.70 10.78 10.72
# started 2026-08-16 02:14:14
Checking LJ-1-331.CondG4 (/Users/alsg/Agentic/Bedrock/agents/tasks/LJ-1-331/CondG4.lagda.md).
Total                                      32,406ms 
Miscellaneous                              13,788ms 
LJ-1-331.CondG4.PropAgree.subB2T-back       3,426ms 
LJ-1-331.CondG4._.dc                          918ms 
LJ-1-331.CondG4.Exist.Δ₀-existBndAt           843ms 
LJ-1-331.CondG4.Forall.Δ₀-bodyFφ              791ms 
LJ-1-331.CondG4.ForallAgree.back              737ms 
LJ-1-331.CondG4._.dc                          720ms 
LJ-1-331.CondG4.PropAgree.back                665ms 
LJ-1-331.CondG4.ForallAgree.out               637ms 
LJ-1-331.CondG4.Clause.Δ₀-bodyBnd             621ms 
LJ-1-331.CondG4.BinaryShape.in'               602ms 
LJ-1-331.CondG4.NegAgree.back                 552ms 
LJ-1-331.CondG4.BinaryShape.out               548ms 
LJ-1-331.CondG4.NegAgree.out                  479ms 
LJ-1-331.CondG4.TopAgree.back                 440ms 
LJ-1-331.CondG4.TmVal.in'                     412ms 
LJ-1-331.CondG4.TmVal.out                     380ms 
LJ-1-331.CondG4.CertTransfer.cert-transfer    376ms 
LJ-1-331.CondG4.PropAgree.out                 376ms 
LJ-1-331.CondG4.TopAgree.out                  366ms 
LJ-1-331.CondG4.BinaryShape._.target          279ms 
LJ-1-331.CondG4.PropAgree.subB2T              230ms 
LJ-1-331.CondG4.SubValSuccB2T.out             192ms 
LJ-1-331.CondG4.UnaryShape.in'                191ms 
LJ-1-331.CondG4.PropAgree.keyK₀               166ms 
LJ-1-331.CondG4.UnaryShape._.target           121ms 
LJ-1-331.CondG4.SubValSuccB2T.back            114ms 
LJ-1-331.CondG4.EnvSet.over→bnd               107ms 
LJ-1-331.CondG4.Clause.Δ₀-envBnd              105ms 
LJ-1-331.CondG4.BotAgree.bot-in               103ms 
LJ-1-331.CondG4.SatGraphB.Δ₀-twelveB           92ms 
LJ-1-331.CondG4.EnvSet.bnd→over                77ms 
LJ-1-331.CondG4.Δ₀-prAtL                       76ms 
LJ-1-331.CondG4.PropAgree.opBack               70ms 
LJ-1-331.CondG4.ExInRow.σL-out                 69ms 
LJ-1-331.CondG4.AllInRow.σL-out                67ms 
LJ-1-331.CondG4.ImpRow.σL-out                  62ms 
LJ-1-331.CondG4.OrRow.σL-out                   61ms 
LJ-1-331.CondG4.SatGraphB.twelveB              59ms 
LJ-1-331.CondG4.BinFullDecode.binFull-out      59ms 
LJ-1-331.CondG4.AndRow.σL-out                  58ms 
LJ-1-331.CondG4.SatGraphB.Δ₀-satGraphB         57ms 
LJ-1-331.CondG4.MemRow.σL-out                  53ms 
LJ-1-331.CondG4.ExInRow.σL-in                  52ms 
LJ-1-331.CondG4.EqRow.σL-out                   52ms 
LJ-1-331.CondG4.BinFullDecode.binFull-in       51ms 
LJ-1-331.CondG4.AllInRow.σL-in                 51ms 
LJ-1-331.CondG4.PropAgree.opOut                50ms 
LJ-1-331.CondG4.NegRow.σL-out                  48ms 
LJ-1-331.CondG4.ForallRow.σL-out               47ms 
LJ-1-331.CondG4.AndRow.σL-in                   45ms 
LJ-1-331.CondG4.UnFullDecode.unFull-out        45ms 
LJ-1-331.CondG4.BinEnvDecode.binEnv-out        44ms 
LJ-1-331.CondG4.EqRow.σL-in                    43ms 
LJ-1-331.CondG4.BotAgree.bot-out               43ms 
LJ-1-331.CondG4.ImpRow.σL-in                   43ms 
LJ-1-331.CondG4.OrRow.σL-in                    42ms 
LJ-1-331.CondG4.ClauseDecode.existBnd-out      41ms 
LJ-1-331.CondG4.MemRow.σL-in                   40ms 
LJ-1-331.CondG4.TopRow.σL-out                  38ms 
LJ-1-331.CondG4.UnEnvDecode.unEnv-out          38ms 
LJ-1-331.CondG4.UnFullDecode.unFull-in         37ms 
LJ-1-331.CondG4.Δ₀-bndBodyAll                  36ms 
LJ-1-331.CondG4.Δ₀-bndBodyEx                   35ms 
LJ-1-331.CondG4.ClauseDecode.existBnd-in       35ms 
LJ-1-331.CondG4.ForallRow.σL-in                35ms 
LJ-1-331.CondG4.NegRow.σL-in                   35ms 
LJ-1-331.CondG4.Δ₀-DefBodyB                    34ms 
LJ-1-331.CondG4.BinEnvDecode.binEnv-in         34ms 
LJ-1-331.CondG4.SatGraphB.satGraphB            32ms 
LJ-1-331.CondG4.TopRow.σL-in                   31ms 
LJ-1-331.CondG4.Δ₀-envHypU                     31ms 
LJ-1-331.CondG4.PropAgree.coreS                30ms 
LJ-1-331.CondG4.Δ₀-envHypB2T                   30ms 
LJ-1-331.CondG4.Δ₀-envHypB2                    30ms 
LJ-1-331.CondG4.ClauseDecode.σL-out            30ms 
LJ-1-331.CondG4.UnBareDecode.unBare-out        29ms 
LJ-1-331.CondG4.Δ₀-envHypT                     29ms 
LJ-1-331.CondG4.SubValB2T.out                  27ms 
LJ-1-331.CondG4.BotRow.σL-out                  26ms 
LJ-1-331.CondG4.BotRow.σL-in                   25ms 
LJ-1-331.CondG4.ForallTiesNS.ForallTiesG4      24ms 
LJ-1-331.CondG4.Δ₀-sucAtL                      24ms 
LJ-1-331.CondG4.UnEnvDecode.unEnv-in           23ms 
LJ-1-331.CondG4.Clause.envBnd                  22ms 
LJ-1-331.CondG4.ClauseDecode.σL-in             22ms 
LJ-1-331.CondG4.UnaryShape.out                 21ms 
LJ-1-331.CondG4.Δ₀-shapesBS                    20ms 
LJ-1-331.CondG4.DefBodyB                       20ms 
LJ-1-331.CondG4.Δ₀-atomBodyB                   20ms 
LJ-1-331.CondG4.EnvSet.app3                    19ms 
LJ-1-331.CondG4.EnvSet.app3'                   19ms 
LJ-1-331.CondG4.keyU                           19ms 
LJ-1-331.CondG4.UnBareDecode.unBare-in         19ms 
LJ-1-331.CondG4.Δ₀-arTagPairBS                 18ms 
LJ-1-331.CondG4.EnvSet.entryK                  17ms 
LJ-1-331.CondG4.Δ₀-envBndGen                   16ms 
LJ-1-331.CondG4.GraphEntry.bin                 16ms 
LJ-1-331.CondG4.ChainZ.xsingl∈prxy             16ms 
LJ-1-331.CondG4.succU                          14ms 
LJ-1-331.CondG4.GraphEntry.un                  14ms 
LJ-1-331.CondG4.Imp.Δ₀-impBndAt                14ms 
LJ-1-331.CondG4.Δ₀-arTagPairB                  14ms 
LJ-1-331.CondG4.Δ₀-hasWitnessBS                14ms 
LJ-1-331.CondG4.And.Δ₀-andBndAt                14ms 
LJ-1-331.CondG4.EnvSet.app2                    13ms 
LJ-1-331.CondG4.extAtB→extAt                   13ms 
LJ-1-331.CondG4.extAt→extAtB                   13ms 
LJ-1-331.CondG4.ChainZ.ysingl∈prxy             13ms 
LJ-1-331.CondG4.AllIn.Δ₀-allInBndAt            13ms 
LJ-1-331.CondG4.EnvSet.memE-bnd                13ms 
LJ-1-331.CondG4.bndBodyEx                      13ms 
LJ-1-331.CondG4.ExIn.Δ₀-exInBndAt              13ms 
LJ-1-331.CondG4.Neg.Δ₀-negBndAt                12ms 
LJ-1-331.CondG4.Δ₀-closedBS                    12ms 
LJ-1-331.CondG4.Δ₀-binFullAt                   12ms 
LJ-1-331.CondG4._.d2                           12ms 
LJ-1-331.CondG4.Forall.Δ₀-forallBndAt          12ms 
LJ-1-331.CondG4._.dt                           12ms 
LJ-1-331.CondG4.BinaryShape.pairK              12ms 
LJ-1-331.CondG4.Δ₀-propBodyB                   12ms 
LJ-1-331.CondG4._.d1                           11ms 
LJ-1-331.CondG4.ChainZ.yK'                     11ms 
LJ-1-331.CondG4.ChainZ.prxy∈K                  11ms 
LJ-1-331.CondG4.atomBodyB                      11ms 
LJ-1-331.CondG4.Or.Δ₀-orBndAt                  11ms 
LJ-1-331.CondG4.EnvSet.back                    11ms 
LJ-1-331.CondG4.envBndGen                      10ms 
LJ-1-331.CondG4.bndBodyAll                     10ms 
LJ-1-331.CondG4.Δ₀-binEnvAt                    10ms 
LJ-1-331.CondG4.ChainZ.entryK-tied-zK          10ms 
LJ-1-331.CondG4.StepAtB.Δ₀-stepBndAt           10ms 
# wall seconds 34
# exit 0
# agda slots after 1
# load after  2:14  up 2 days,  4:37, 3 users, load averages: 9.28 10.68 10.69
