Checking L.Condensation (/Users/alsg/Agentic/Bedrock/src/L/Condensation.lagda.md).
Total                                          134,279ms 
Miscellaneous                                   78,885ms 
L.Condensation.SatGraphAgree.back                3,455ms 
L.Condensation.PropAgree.subB2T-back             2,584ms 
L.Condensation.SatGraphAgree.out                 2,082ms 
L.Condensation.ForallAgree.out                   1,403ms 
L.Condensation.LeafAgree.out                     1,307ms 
L.Condensation.LeafAgree.back                    1,301ms 
L.Condensation.AllInAgree.back                   1,149ms 
L.Condensation.WitnessAgree._.go                 1,135ms 
L.Condensation.Forall.Δ₀-bodyFφ                  1,131ms 
L.Condensation.ExInAgree.back                    1,119ms 
L.Condensation.SatGraphAgree.body-back           1,109ms 
L.Condensation.ExInAgree.out                     1,049ms 
L.Condensation.AllInAgree.out                    1,049ms 
L.Condensation.SatGraphAgree.body-out            1,001ms 
L.Condensation.WitnessAgree._.go                   991ms 
L.Condensation.Exist.Δ₀-existBndAt                 839ms 
L.Condensation.ImpLeaf.yaOut                       830ms 
L.Condensation.ImpAgree.out                        824ms 
L.Condensation.ImpLeaf.ybOut                       800ms 
L.Condensation.ImpAgree.back                       787ms 
L.Condensation.SubValSuccB2T.out                   775ms 
L.Condensation._.dc                                720ms 
L.Condensation._.dc                                719ms 
L.Condensation.EqAgree.back                        698ms 
L.Condensation.ForallAgree.back                    671ms 
L.Condensation.PropAgree.back                      666ms 
L.Condensation.MemAgree.back                       662ms 
L.Condensation.ShapedAgree.back                    652ms 
L.Condensation.EqAgree.out                         630ms 
L.Condensation.BinShapeClosed.in'                  625ms 
L.Condensation.ExistAgree.back                     611ms 
L.Condensation.Clause.Δ₀-bodyBnd                   608ms 
L.Condensation.MemAgree.out                        598ms 
L.Condensation.ShapedAgree.out                     576ms 
L.Condensation.KFactsNS.KFacts                     563ms 
L.Condensation.BinaryShape.in'                     537ms 
L.Condensation.ExistAgree.out                      527ms 
L.Condensation.NegAgree.back                       498ms 
L.Condensation.SatGraphAgree.lift3                 468ms 
L.Condensation.NegAgree.out                        436ms 
L.Condensation.TopAgree.back                       424ms 
L.Condensation.TmVal.in'                           388ms 
L.Condensation.BinShapeClosed._.target             385ms 
L.Condensation.PropAgree.out                       366ms 
L.Condensation.CertTransfer.cert-transfer          363ms 
L.Condensation.TopAgree.out                        353ms 
L.Condensation.TmVal.out                           341ms 
L.Condensation.AtomLeaf.keyK-of                    293ms 
L.Condensation.KFactsCons                          291ms 
L.Condensation.BndLeaf.keyK-of                     290ms 
L.Condensation.BndLeaf.all-fwd                     282ms 
L.Condensation.BinaryShape._.target                262ms 
L.Condensation.BndLeaf.ex-bwd                      250ms 
L.Condensation.BndLeaf.ex-fwd                      246ms 
L.Condensation.UnShapeClosed.in'                   223ms 
L.Condensation.PropAgree.subB2T                    215ms 
L.Condensation.BndLeaf.all-bwd                     190ms 
L.Condensation.ShapesAgree.out                     181ms 
L.Condensation.UnaryShape.in'                      172ms 
L.Condensation.ExistAgree.Leaf.bwd                 163ms 
L.Condensation.LeafAgree.ic-out                    161ms 
L.Condensation.ExistAgree.Leaf.fwd                 157ms 
L.Condensation.UnShapeClosed._.target              156ms 
L.Condensation.PropAgree.keyK₀                     153ms 
L.Condensation.ClosedAgree.back                    151ms 
L.Condensation.LeafAgree.ic-back                   150ms 
L.Condensation.ClosedAgree.out                     148ms 
L.Condensation.Clause.extBnd                       141ms 
L.Condensation.KeyAgree._._.go₂                    134ms 
L.Condensation.TmBranch._._.tagAt                  117ms 
L.Condensation.ImpLeaf.ybBack                      115ms 
L.Condensation.BinFormAgree._._._.go₃              115ms 
L.Condensation.ImpLeaf.yaBack                      112ms 
L.Condensation.AtomLeaf.bwd                        111ms 
L.Condensation.Lift12Back.back                     110ms 
L.Condensation.UnaryShape._.target                 108ms 
L.Condensation.AtomLeaf.fwd                        106ms 
L.Condensation.Lift12Back.s₁                       106ms 
L.Condensation.EnvSet.over→bnd                     102ms 
L.Condensation.BinFrameAgree._.go                  101ms 
L.Condensation.SubValSuccB2T.back                  100ms 
L.Condensation.BotAgree.bot-in                      99ms 
L.Condensation.BinFormAgree._._._._.shape           98ms 
L.Condensation.Lift12Back.s₂                        98ms 
L.Condensation.BinFormAgree._._._.go₃               94ms 
L.Condensation.SatGraphB.Δ₀-twelveB                 91ms 
L.Condensation.Lift12Back.s₃                        90ms 
