Checking L.Condensation (/Users/alsg/Agentic/Bedrock/src/L/Condensation.lagda.md).
Total                                          126,324ms 
Miscellaneous                                   62,609ms 
L.Condensation.LeafAgree.out                     9,833ms 
L.Condensation.LeafAgree.back                    4,289ms 
L.Condensation.SatGraphAgree.back                3,470ms 
L.Condensation.PropAgree.subB2T-back             3,143ms 
L.Condensation.ExInAgree.back                    2,426ms 
L.Condensation.SatGraphAgree.out                 2,039ms 
L.Condensation.Exist.Δ₀-existBndAt               1,139ms 
L.Condensation.AllInAgree.back                   1,078ms 
L.Condensation.WitnessAgree._.go                 1,074ms 
L.Condensation.SatGraphAgree.body-back           1,037ms 
L.Condensation.WitnessAgree._.go                 1,010ms 
L.Condensation.SatGraphAgree.body-out            1,010ms 
L.Condensation.ImpLeaf.yaOut                       811ms 
L.Condensation.Clause.Δ₀-bodyBnd                   809ms 
L.Condensation.ImpLeaf.ybOut                       786ms 
L.Condensation.Forall.Δ₀-bodyFφ                    723ms 
L.Condensation.ImpAgree.back                       712ms 
L.Condensation.ExInAgree.out                       686ms 
L.Condensation.AllInAgree.out                      662ms 
L.Condensation.ForallAgree.back                    653ms 
L.Condensation.MemAgree.back                       650ms 
L.Condensation._.dc                                650ms 
L.Condensation._.dc                                643ms 
L.Condensation.BinShapeClosed.in'                  639ms 
L.Condensation.EqAgree.back                        637ms 
L.Condensation.PropAgree.back                      596ms 
L.Condensation.KFactsNS.KFacts                     577ms 
L.Condensation.ShapedAgree.out                     575ms 
L.Condensation.ShapedAgree.back                    570ms 
L.Condensation.ExistAgree.back                     567ms 
L.Condensation.ImpAgree.out                        558ms 
L.Condensation.BinaryShape.in'                     528ms 
L.Condensation.NegAgree.back                       503ms 
L.Condensation.SatGraphAgree.lift3                 486ms 
L.Condensation.ForallAgree.out                     437ms 
L.Condensation.TopAgree.back                       390ms 
L.Condensation.TmVal.in'                           386ms 
L.Condensation.BinShapeClosed._.target             382ms 
L.Condensation.CertTransfer.cert-transfer          369ms 
