# module src/L/Condensation.lagda.md
# in-fence lines 6676
# GHCRTS -A64m -I0 -M8g
# command agda --profile=definitions src/L/Condensation.lagda.md
# load before 3.04 / 3.60 / 3.65
# load after  3.38 / 3.51 / 3.60
# wall seconds 128.55
# exit 0
Checking L.Condensation (/Users/alsg/Agentic/Bedrock/src/L/Condensation.lagda.md).
Total                                          125,512ms 
Miscellaneous                                   66,160ms 
L.Condensation.LeafAgree.back                    6,940ms 
L.Condensation.SatGraphAgree.back                3,457ms 
L.Condensation.PropAgree.subB2T-back             3,075ms 
L.Condensation.ExInAgree.back                    2,524ms 
L.Condensation.SatGraphAgree.out                 2,113ms 
L.Condensation.LeafAgree.out                     1,328ms 
L.Condensation.Exist.Δ₀-existBndAt               1,174ms 
L.Condensation.AtomLeaf.bwd                      1,128ms 
L.Condensation.SatGraphAgree.body-back           1,106ms 
L.Condensation.AllInAgree.back                   1,106ms 
L.Condensation.WitnessAgree._.go                 1,085ms 
L.Condensation.WitnessAgree._.go                 1,007ms 
L.Condensation.SatGraphAgree.body-out              988ms 
L.Condensation.Clause.Δ₀-bodyBnd                   797ms 
L.Condensation.ImpLeaf.yaOut                       784ms 
L.Condensation.ImpLeaf.ybOut                       775ms 
L.Condensation.ImpAgree.back                       743ms 
L.Condensation.Forall.Δ₀-bodyFφ                    735ms 
L.Condensation.ExInAgree.out                       692ms 
L.Condensation.AllInAgree.out                      686ms 
L.Condensation.ForallAgree.back                    669ms 
L.Condensation.EqAgree.back                        667ms 
L.Condensation._.dc                                657ms 
L.Condensation._.dc                                656ms 
L.Condensation.MemAgree.back                       647ms 
L.Condensation.BinShapeClosed.in'                  643ms 
L.Condensation.ExistAgree.back                     588ms 
L.Condensation.PropAgree.back                      586ms 
L.Condensation.ShapedAgree.back                    576ms 
L.Condensation.ShapedAgree.out                     575ms 
L.Condensation.ImpAgree.out                        567ms 
L.Condensation.KFactsNS.KFacts                     565ms 
L.Condensation.BinaryShape.in'                     529ms 
L.Condensation.NegAgree.back                       500ms 
L.Condensation.SatGraphAgree.lift3                 475ms 
L.Condensation.ForallAgree.out                     414ms 
L.Condensation.TopAgree.back                       395ms 
L.Condensation.TmVal.in'                           379ms 
L.Condensation.BinShapeClosed._.target             378ms 
L.Condensation.EqAgree.out                         365ms 
L.Condensation.CertTransfer.cert-transfer          364ms 
L.Condensation.TmVal.out                           356ms 
L.Condensation.MemAgree.out                        352ms 
L.Condensation.ExistAgree.out                      343ms 
L.Condensation.PropAgree.out                       329ms 
L.Condensation.AtomLeaf.keyK-of                    300ms 
L.Condensation.BndLeaf.keyK-of                     297ms 
L.Condensation.NegAgree.out                        289ms 
L.Condensation.KFactsCons                          283ms 
L.Condensation.BndLeaf.all-fwd                     246ms 
L.Condensation.BinaryShape._.target                246ms 
L.Condensation.TopAgree.out                        233ms 
L.Condensation.UnShapeClosed.in'                   226ms 
L.Condensation.BndLeaf.ex-bwd                      215ms 
L.Condensation.PropAgree.subB2T                    212ms 
L.Condensation.BndLeaf.ex-fwd                      209ms 
L.Condensation.ShapesAgree.out                     182ms 
L.Condensation.SubValSuccB2T.out                   177ms 
L.Condensation.UnaryShape.in'                      167ms 
L.Condensation.BndLeaf.all-bwd                     161ms 
L.Condensation.LeafAgree.ic-back                   159ms 
L.Condensation.UnShapeClosed._.target              159ms 
L.Condensation.ExistAgree.Leaf.fwd                 159ms 
L.Condensation.ExistAgree.Leaf.bwd                 158ms 
L.Condensation.LeafAgree.ic-out                    157ms 
L.Condensation.PropAgree.keyK₀                     148ms 
L.Condensation.ClosedAgree.out                     144ms 
L.Condensation.ClosedAgree.back                    142ms 
L.Condensation.KeyAgree._._.go₂                    140ms 
L.Condensation.BinFormAgree._._._.go₃              124ms 
L.Condensation.TmBranch._._.tagAt                  118ms 
L.Condensation.ImpLeaf.ybBack                      117ms 
L.Condensation.ImpLeaf.yaBack                      115ms 
L.Condensation.AtomLeaf.fwd                        115ms 
L.Condensation.UnaryShape._.target                 113ms 
L.Condensation.Lift12Back.back                     110ms 
L.Condensation.BinFormAgree._._._._.shape          107ms 
L.Condensation.BinFrameAgree._.go                  106ms 
L.Condensation.Lift12Back.s₁                       102ms 
L.Condensation.BinFormAgree._._._.go₃              102ms 
