Checking LJ-1-287.ControlEnv (/Users/alsg/Agentic/Bedrock/agents/tasks/LJ-1-287/ControlEnv.lagda.md).
Total                                        486,357ms 
Miscellaneous                                  2,569ms 
LJ-1-287.ControlEnv.SupplyEnv._._.sucV∈      483,058ms 
LJ-1-287.ControlEnv.SupplyEnv.someEnv            103ms 
LJ-1-287.ControlEnv.SupplyEnv._._.sub₁            45ms 
LJ-1-287.ControlEnv.SupplyEnv.envInK-imp          37ms 
LJ-1-287.ControlEnv.SupplyEnv.envInK-mem          36ms 
LJ-1-287.ControlEnv.SupplyEnv.envInK-gen          34ms 
LJ-1-287.ControlEnv.SupplyEnv.envInK-neg          33ms 
LJ-1-287.ControlEnv.SupplyEnv.envInK-top          31ms 
LJ-1-287.ControlEnv.SupplyEnv.envK-imp            30ms 
LJ-1-287.ControlEnv.SupplyEnv.envK-allin          30ms 
LJ-1-287.ControlEnv.SupplyEnv._.go                28ms 
LJ-1-287.ControlEnv.SupplyEnv.envK-neg            24ms 
LJ-1-287.ControlEnv.SupplyEnv.envK-mem            23ms 
LJ-1-287.ControlEnv.SupplyEnv.envK-top            21ms 
LJ-1-287.ControlEnv.SupplyEnv.envOverAt-in        20ms 
LJ-1-287.ControlEnv.SupplyEnv._.fwd               19ms 
LJ-1-287.ControlEnv.SupplyEnv.envK-gen            18ms 
LJ-1-287.ControlEnv.SupplyEnv._._._._.sat         17ms 
LJ-1-287.ControlEnv.SupplyEnv._._._.member        17ms 
LJ-1-287.ControlEnv.SupplyEnv._._.ident           16ms 
LJ-1-287.ControlEnv.SupplyEnv.envSetAt-ident      15ms 
LJ-1-287.ControlEnv.SupplyEnv._.EK                15ms 
LJ-1-287.ControlEnv.SupplyEnv._._.sub₂            13ms 
LJ-1-287.ControlEnv.SupplyEnv._.arityK₀           13ms 
LJ-1-287.ControlEnv.SupplyEnv._._.a∈δ₂            12ms 
LJ-1-287.ControlEnv.SupplyEnv._.envInK₀           12ms 
LJ-1-287.ControlEnv.SupplyEnv.envSetK             11ms 
LJ-1-287.ControlEnv.SupplyEnv.B₀∈σ                11ms 
LJ-1-287.ControlEnv.SupplyEnv._.henvB             10ms 
LJ-1-287.ControlEnv.SupplyEnv._._.sgl∈δ₂          10ms 
LJ-1-287.ControlEnv.SupplyEnv._._.pair∈δ₃         10ms 
