Checking LJ-1-287.SealReplay (/Users/alsg/Agentic/Bedrock/agents/tasks/LJ-1-287/SealReplay.lagda.md).
Total                                        466,314ms 
Miscellaneous                                  2,731ms 
LJ-1-287.SealReplay.SupplyEnv.lev4-mem       462,830ms 
LJ-1-287.SealReplay.SupplyEnv.someEnv            103ms 
LJ-1-287.SealReplay.SupplyEnv._._.sub₁            51ms 
LJ-1-287.SealReplay.SupplyEnv.envInK-imp          38ms 
LJ-1-287.SealReplay.SupplyEnv.envInK-gen          36ms 
LJ-1-287.SealReplay.SupplyEnv.envInK-mem          35ms 
LJ-1-287.SealReplay.SupplyEnv.envInK-neg          33ms 
LJ-1-287.SealReplay.SupplyEnv.envK-imp            31ms 
LJ-1-287.SealReplay.SupplyEnv.envInK-top          30ms 
LJ-1-287.SealReplay.SupplyEnv.envK-allin          30ms 
LJ-1-287.SealReplay.SupplyEnv._.go                30ms 
LJ-1-287.SealReplay.SupplyEnv.envK-neg            24ms 
LJ-1-287.SealReplay.SupplyEnv.envK-mem            23ms 
LJ-1-287.SealReplay.SupplyEnv.envK-top            20ms 
LJ-1-287.SealReplay.SupplyEnv._._._._.sat         20ms 
LJ-1-287.SealReplay.SupplyEnv.envOverAt-in        20ms 
LJ-1-287.SealReplay.SupplyEnv._.fwd               18ms 
LJ-1-287.SealReplay.SupplyEnv.envK-gen            18ms 
LJ-1-287.SealReplay.SupplyEnv._._._.member        17ms 
LJ-1-287.SealReplay.SupplyEnv._.EK                16ms 
LJ-1-287.SealReplay.SupplyEnv.envSetAt-ident      15ms 
LJ-1-287.SealReplay.SupplyEnv._.arityK₀           13ms 
LJ-1-287.SealReplay.SupplyEnv._._.ident           13ms 
LJ-1-287.SealReplay.SupplyEnv.union∈Lset-suc      13ms 
LJ-1-287.SealReplay.SupplyEnv._._.a∈δ₂            12ms 
LJ-1-287.SealReplay.SupplyEnv._.envInK₀           12ms 
LJ-1-287.SealReplay.SupplyEnv.genEq               12ms 
LJ-1-287.SealReplay.SupplyEnv._._.pair∈δ₃         11ms 
LJ-1-287.SealReplay.SupplyEnv._._.sub₂            10ms 
LJ-1-287.SealReplay.SupplyEnv.envSetK             10ms 
LJ-1-287.SealReplay.SupplyEnv._.henvB             10ms 
LJ-1-287.SealReplay.SupplyEnv._._.sgl∈δ₂          10ms 
