Checking LJ-1-287.TreatedNoIter (/Users/alsg/Agentic/Bedrock/agents/tasks/LJ-1-287/TreatedNoIter.lagda.md).
Total                                           3,444ms 
Miscellaneous                                   2,654ms 
LJ-1-287.TreatedNoIter.SupplyEnv.someEnv          106ms 
LJ-1-287.TreatedNoIter.SupplyEnv._._.sub₁          47ms 
LJ-1-287.TreatedNoIter.SupplyEnv.envInK-imp        37ms 
LJ-1-287.TreatedNoIter.SupplyEnv._._.sgl∈δ₂        37ms 
LJ-1-287.TreatedNoIter.SupplyEnv.envInK-gen        36ms 
LJ-1-287.TreatedNoIter.SupplyEnv.envInK-mem        35ms 
LJ-1-287.TreatedNoIter.SupplyEnv.envInK-neg        34ms 
LJ-1-287.TreatedNoIter.SupplyEnv.envK-imp          32ms 
LJ-1-287.TreatedNoIter.SupplyEnv.envInK-top        29ms 
LJ-1-287.TreatedNoIter.SupplyEnv._.go              26ms 
LJ-1-287.TreatedNoIter.SupplyEnv.envK-allin        26ms 
LJ-1-287.TreatedNoIter.SupplyEnv.envK-neg          23ms 
LJ-1-287.TreatedNoIter.SupplyEnv.envK-mem          23ms 
LJ-1-287.TreatedNoIter.SupplyEnv._._._.member      21ms 
LJ-1-287.TreatedNoIter.SupplyEnv.envK-gen          21ms 
LJ-1-287.TreatedNoIter.SupplyEnv.envK-top          21ms 
LJ-1-287.TreatedNoIter.SupplyEnv.envOverAt-in      20ms 
LJ-1-287.TreatedNoIter.SupplyEnv._._.δ₄∈λ          19ms 
LJ-1-287.TreatedNoIter.SupplyEnv._._._._.sat       18ms 
LJ-1-287.TreatedNoIter.SupplyEnv.envSetAt-ident    17ms 
LJ-1-287.TreatedNoIter.SupplyEnv._._.ident         16ms 
LJ-1-287.TreatedNoIter.SupplyEnv._.envInK₀         15ms 
LJ-1-287.TreatedNoIter.SupplyEnv._.fwd             13ms 
LJ-1-287.TreatedNoIter.SupplyEnv._.arityK₀         13ms 
LJ-1-287.TreatedNoIter.SupplyEnv._.EK              12ms 
LJ-1-287.TreatedNoIter.SupplyEnv.envSetK           12ms 
LJ-1-287.TreatedNoIter.SupplyEnv._._.sub₂          12ms 
LJ-1-287.TreatedNoIter.SupplyEnv.B₀∈σ              12ms 
LJ-1-287.TreatedNoIter.SupplyEnv._._.pair∈δ₃       11ms 
LJ-1-287.TreatedNoIter.SupplyEnv._.henvB           11ms 
LJ-1-287.TreatedNoIter.SupplyEnv._._.a∈δ₂          10ms 
LJ-1-287.TreatedNoIter.SupplyEnv.genEq             10ms 
