Checking L.Coding.EnvSupply (/Users/alsg/Agentic/Bedrock/src/L/Coding/EnvSupply.lagda.md).
Total                                            494,425ms 
Miscellaneous                                      3,235ms 
L.Coding.EnvSupply.SupplyEnv._._.sucV∈           488,760ms 
L.Coding.EnvSupply.Fact.ConsKClosed._.e'eq           136ms 
L.Coding.EnvSupply.Fact.ConsK._.e'eq                 130ms 
L.Coding.EnvSupply.Fact.ConsKClosed._.e'eq           122ms 
L.Coding.EnvSupply.Fact.ConsK._.e'eq                 119ms 
L.Coding.EnvSupply.SupplyEnv.someEnv                 110ms 
L.Coding.EnvSupply.SupplyEnv._.go                     70ms 
L.Coding.EnvSupply.Fact.ConsKClosed.consK-allin       69ms 
L.Coding.EnvSupply.Fact.ConsKClosed.consK-forall      60ms 
L.Coding.EnvSupply.SupplyEnv._._.sub₁                 56ms 
L.Coding.EnvSupply.Fact.ConsK.consK-allin             55ms 
L.Coding.EnvSupply.Fact.subKSucc-gen                  52ms 
L.Coding.EnvSupply.SupplyMerge._.memTr                52ms 
L.Coding.EnvSupply.Fact.ConsK.consK-forall            48ms 
L.Coding.EnvSupply.SupplyEnv.envInK-imp               42ms 
L.Coding.EnvSupply.SupplyMerge._.go                   41ms 
L.Coding.EnvSupply.SupplyEnv.envInK-gen               38ms 
L.Coding.EnvSupply.Fact.EnvClosure.envConsK           38ms 
L.Coding.EnvSupply.SupplyEnv.envInK-mem               36ms 
L.Coding.EnvSupply.SupplyEnv.envInK-neg               35ms 
L.Coding.EnvSupply.SupplyEnv.envK-imp                 33ms 
L.Coding.EnvSupply.Fact.subK₁-imp                     33ms 
L.Coding.EnvSupply.SupplyMerge._.step                 31ms 
L.Coding.EnvSupply.SupplyMerge._.sub                  31ms 
L.Coding.EnvSupply.SupplyEnv.envInK-top               30ms 
L.Coding.EnvSupply.SupplyMerge._.sub                  30ms 
L.Coding.EnvSupply.SupplyMerge._.sup                  30ms 
L.Coding.EnvSupply.Fact.subK₀-imp                     28ms 
L.Coding.EnvSupply.Fact.valV                          27ms 
L.Coding.EnvSupply.SupplyEnv.envK-allin               27ms 
L.Coding.EnvSupply.SupplyMerge._.sub                  27ms 
L.Coding.EnvSupply.Fact.wKfact                        26ms 
L.Coding.EnvSupply.Fact.valW                          26ms 
L.Coding.EnvSupply.Fact.ConsKClosed.consK-exist       25ms 
L.Coding.EnvSupply.Fact.subK-allin                    25ms 
L.Coding.EnvSupply.Fact._.varCase                     24ms 
L.Coding.EnvSupply.SupplyEnv.envK-neg                 24ms 
L.Coding.EnvSupply.Fact.subK₀-and                     24ms 
L.Coding.EnvSupply.SupplyEnv.envK-mem                 24ms 
L.Coding.EnvSupply.Fact.subK₁-and                     23ms 
L.Coding.EnvSupply.SupplyMerge._.all                  23ms 
L.Coding.EnvSupply.Fact.valK                          22ms 
L.Coding.EnvSupply.Fact.subK-un                       22ms 
L.Coding.EnvSupply.Fact.subK-neg                      22ms 
L.Coding.EnvSupply.SupplyEnv.envK-top                 21ms 
L.Coding.EnvSupply.SupplyEnv.envOverAt-in             21ms 
L.Coding.EnvSupply.SupplyEnv.envSetAt-ident           20ms 
L.Coding.EnvSupply.Fact.tmValK                        20ms 
L.Coding.EnvSupply.Fact.valK-un                       20ms 
L.Coding.EnvSupply.Fact.ConsK.consK-exist             20ms 
L.Coding.EnvSupply.Fact.subK-gen                      19ms 
L.Coding.EnvSupply.SupplyEnv.envK-gen                 19ms 
L.Coding.EnvSupply.SupplyEnv._._._._.sat              19ms 
L.Coding.EnvSupply.SupplyEnv._._._.member             19ms 
L.Coding.EnvSupply.Fact._.conCase                     18ms 
L.Coding.EnvSupply.SupplyEnv._._.ident                17ms 
L.Coding.EnvSupply.SupplyEnv._.EK                     16ms 
L.Coding.EnvSupply.SupplyEnv._.envInK₀                15ms 
L.Coding.EnvSupply.SupplyEnv._.fwd                    14ms 
L.Coding.EnvSupply.SupplyMerge.∪-ord                  13ms 
L.Coding.EnvSupply.SupplyEnv.genEq                    13ms 
L.Coding.EnvSupply.SupplyEnv._._.a∈δ₂                 13ms 
L.Coding.EnvSupply.SupplyEnv.envSetK                  13ms 
L.Coding.EnvSupply.SupplyEnv._.arityK₀                12ms 
L.Coding.EnvSupply.SupplyEnv._._.sub₂                 12ms 
L.Coding.EnvSupply.SupplyEnv._._.pair∈δ₃              11ms 
L.Coding.EnvSupply.Lset-fin                           11ms 
L.Coding.EnvSupply.SupplyMerge.finSup                 11ms 
L.Coding.EnvSupply.SupplyEnv._._.sgl∈δ₂               11ms 
L.Coding.EnvSupply.SupplyEnv.transK                   10ms 
L.Coding.EnvSupply.SupplyEnv.union∈Lset-suc           10ms 
L.Coding.EnvSupply.SupplyMerge._.τ∈                   10ms 
L.Coding.EnvSupply.SupplyEnv._.bwd                    10ms 
L.Coding.EnvSupply.SupplyMerge.∈ₛ∪l                   10ms 
