Checking L.Coding.EnvSupply (/Users/alsg/Agentic/Bedrock/src/L/Coding/EnvSupply.lagda.md).
Total                                            5,519ms 
Miscellaneous                                    3,096ms 
L.Coding.EnvSupply.Fact.ConsKClosed._.e'eq         144ms 
L.Coding.EnvSupply.Fact.ConsK._.e'eq               133ms 
L.Coding.EnvSupply.Fact.ConsKClosed._.e'eq         126ms 
L.Coding.EnvSupply.Fact.ConsK._.e'eq               117ms 
L.Coding.EnvSupply.SupplyEnv.someEnv               114ms 
L.Coding.EnvSupply.SupplyEnv._._.sub₁               83ms 
L.Coding.EnvSupply.Fact.ConsKClosed.consK-allin     73ms 
L.Coding.EnvSupply.Fact.ConsKClosed.consK-forall    62ms 
L.Coding.EnvSupply.Fact.ConsK.consK-allin           54ms 
L.Coding.EnvSupply.Fact.subKSucc-gen                53ms 
L.Coding.EnvSupply.SupplyMerge._.memTr              52ms 
L.Coding.EnvSupply.Fact.ConsK.consK-forall          48ms 
L.Coding.EnvSupply.SupplyEnv.envInK-imp             42ms 
L.Coding.EnvSupply.SupplyMerge._.go                 39ms 
L.Coding.EnvSupply.Fact.EnvClosure.envConsK         37ms 
L.Coding.EnvSupply.SupplyEnv.envInK-mem             37ms 
L.Coding.EnvSupply.SupplyEnv.envInK-neg             36ms 
L.Coding.EnvSupply.SupplyEnv.envInK-gen             34ms 
L.Coding.EnvSupply.SupplyEnv.envInK-top             33ms 
L.Coding.EnvSupply.SupplyEnv._.go                   32ms 
L.Coding.EnvSupply.SupplyEnv.envK-imp               31ms 
L.Coding.EnvSupply.SupplyMerge._.sub                31ms 
L.Coding.EnvSupply.SupplyMerge._.step               31ms 
L.Coding.EnvSupply.SupplyMerge._.sup                30ms 
L.Coding.EnvSupply.SupplyEnv.envK-allin             30ms 
L.Coding.EnvSupply.SupplyMerge._.sub                30ms 
L.Coding.EnvSupply.Fact.subK₁-imp                   29ms 
L.Coding.EnvSupply.Fact.subK₀-imp                   29ms 
L.Coding.EnvSupply.Fact.valV                        28ms 
L.Coding.EnvSupply.SupplyMerge._.sub                28ms 
L.Coding.EnvSupply.Fact.valW                        28ms 
L.Coding.EnvSupply.Fact.wKfact                      27ms 
L.Coding.EnvSupply.SupplyMerge._.all                26ms 
L.Coding.EnvSupply.Fact.ConsKClosed.consK-exist     25ms 
L.Coding.EnvSupply.Fact.tmValK                      25ms 
L.Coding.EnvSupply.Fact.subK-allin                  25ms 
L.Coding.EnvSupply.Fact.subK₁-and                   25ms 
L.Coding.EnvSupply.Fact.subK₀-and                   25ms 
L.Coding.EnvSupply.SupplyEnv.envK-neg               24ms 
L.Coding.EnvSupply.SupplyEnv.envK-mem               24ms 
L.Coding.EnvSupply.Fact._.varCase                   24ms 
L.Coding.EnvSupply.Fact.subK-neg                    22ms 
L.Coding.EnvSupply.Fact.subK-un                     22ms 
L.Coding.EnvSupply.SupplyEnv.envK-top               21ms 
L.Coding.EnvSupply.SupplyEnv._._.δ₄∈λ               21ms 
L.Coding.EnvSupply.SupplyEnv.envOverAt-in           21ms 
L.Coding.EnvSupply.Fact.subK-gen                    20ms 
L.Coding.EnvSupply.SupplyEnv._._._.member           20ms 
L.Coding.EnvSupply.SupplyEnv._._._._.sat            19ms 
L.Coding.EnvSupply.SupplyEnv.envK-gen               19ms 
L.Coding.EnvSupply.Fact.valK                        19ms 
L.Coding.EnvSupply.SupplyEnv._.fwd                  19ms 
L.Coding.EnvSupply.Fact.ConsK.consK-exist           18ms 
L.Coding.EnvSupply.Fact.valK-un                     18ms 
L.Coding.EnvSupply.SupplyEnv._.EK                   17ms 
L.Coding.EnvSupply.SupplyEnv.envSetAt-ident         16ms 
L.Coding.EnvSupply.Fact._.conCase                   15ms 
L.Coding.EnvSupply.SupplyEnv._._.ident              14ms 
L.Coding.EnvSupply.SupplyEnv._.arityK₀              14ms 
L.Coding.EnvSupply.SupplyEnv._.envInK₀              14ms 
L.Coding.EnvSupply.Lset-fin                         13ms 
L.Coding.EnvSupply.SupplyEnv.genEq                  13ms 
L.Coding.EnvSupply.SupplyEnv.envSetK                13ms 
L.Coding.EnvSupply.SupplyEnv._._.sub₂               12ms 
L.Coding.EnvSupply.SupplyMerge.finSetK              11ms 
L.Coding.EnvSupply.SupplyMerge.finSup               11ms 
L.Coding.EnvSupply.SupplyEnv._._.pair∈δ₃            11ms 
L.Coding.EnvSupply.SupplyEnv.union∈Lset-suc         10ms 
L.Coding.EnvSupply.SupplyEnv._._.a∈δ₂               10ms 
L.Coding.EnvSupply.Fact.EnvClosure.giK              10ms 
