Checking LJ-1-311.KeyCtrl (/Users/alsg/Agentic/Bedrock/agents/tasks/LJ-1-311/KeyCtrl.lagda.md).
Total                                3,761ms 
Miscellaneous                        2,196ms 
LJ-1-311.KeyCtrl.KeyOver._.pair∈       237ms 
LJ-1-311.KeyCtrl.Δ₀-prAtLK             115ms 
LJ-1-311.KeyCtrl.FiniteSup._._.a⊆b'     83ms 
LJ-1-311.KeyCtrl.Carve.bddEnvFoB        76ms 
LJ-1-311.KeyCtrl.Join.outSet            69ms 
LJ-1-311.KeyCtrl.Land.out               60ms 
LJ-1-311.KeyCtrl.Land.into              59ms 
LJ-1-311.KeyCtrl.Join._.prs             59ms 
LJ-1-311.KeyCtrl.FiniteSup._.memTr      55ms 
LJ-1-311.KeyCtrl.Join.slots             48ms 
LJ-1-311.KeyCtrl._._.sub₁               41ms 
LJ-1-311.KeyCtrl.EnvClosure.envConsK    40ms 
LJ-1-311.KeyCtrl.FiniteSup._.go         40ms 
LJ-1-311.KeyCtrl.Join._.pin             33ms 
LJ-1-311.KeyCtrl.FiniteSup._.step       32ms 
LJ-1-311.KeyCtrl.FiniteSup._.sub        32ms 
LJ-1-311.KeyCtrl.Join._.sv              31ms 
LJ-1-311.KeyCtrl.FiniteSup._.sub        31ms 
LJ-1-311.KeyCtrl.FiniteSup._.sup        30ms 
LJ-1-311.KeyCtrl.Join._.prs             30ms 
LJ-1-311.KeyCtrl.FiniteSup._.sub        27ms 
LJ-1-311.KeyCtrl.Join._.dom             26ms 
LJ-1-311.KeyCtrl.FiniteSup._.all        25ms 
LJ-1-311.KeyCtrl.KeyOver.splitKey∈      24ms 
LJ-1-311.KeyCtrl.Join._.ap              22ms 
LJ-1-311.KeyCtrl.Join._.ap'             21ms 
LJ-1-311.KeyCtrl.Join._.sv              21ms 
LJ-1-311.KeyCtrl.Join._.dom             20ms 
LJ-1-311.KeyCtrl.KeyOver.fromω          18ms 
LJ-1-311.KeyCtrl.Desc.Δ₀-envFoB         16ms 
LJ-1-311.KeyCtrl._._._.member           15ms 
LJ-1-311.KeyCtrl._._._._.sat            14ms 
LJ-1-311.KeyCtrl.FiniteSup.finSup       14ms 
LJ-1-311.KeyCtrl.Land.landed            14ms 
LJ-1-311.KeyCtrl.Land.fibL              13ms 
LJ-1-311.KeyCtrl.Carve.ψ                12ms 
LJ-1-311.KeyCtrl.Join.intoSet           12ms 
LJ-1-311.KeyCtrl.setSub                 11ms 
LJ-1-311.KeyCtrl.EnvClosure.prK         10ms 
LJ-1-311.KeyCtrl.FiniteSup._.τ∈         10ms 
