Checking LJ-1-311.NameCtrl (/Users/alsg/Agentic/Bedrock/agents/tasks/LJ-1-311/NameCtrl.lagda.md).
Total                                   1,667ms 
Miscellaneous                           1,337ms 
LJ-1-311.NameCtrl.Naming.≺ᵥ-trans          72ms 
LJ-1-311.NameCtrl.Naming.≺ₙ-trans          34ms 
LJ-1-311.NameCtrl.code∈limit               29ms 
LJ-1-311.NameCtrl.Naming._≺ᵥ_              20ms 
LJ-1-311.NameCtrl.Naming._._._.byParams    18ms 
LJ-1-311.NameCtrl.eraseFo-embed            17ms 
LJ-1-311.NameCtrl._.both                   17ms 
LJ-1-311.NameCtrl.Naming._._.step          17ms 
LJ-1-311.NameCtrl.Naming.≺ᵥ-tri            16ms 
LJ-1-311.NameCtrl.Naming._.step            16ms 
LJ-1-311.NameCtrl.Naming._.decide          14ms 
LJ-1-311.NameCtrl.Naming._._.hb            11ms 
LJ-1-311.NameCtrl.Naming.≺ᵥ-wf             11ms 
LJ-1-311.NameCtrl.Naming.absSat            10ms 
LJ-1-311.NameCtrl.Naming._.fwd             10ms 
LJ-1-311.NameCtrl.Naming.≺ᵥ-subst-right    10ms 
