Checking L.Condensation (/Users/alsg/Agentic/Bedrock/src/L/Condensation.lagda.md).
Total                                          137,453ms 
Miscellaneous                                   80,111ms 
L.Condensation.SatGraphAgree.back                3,576ms 
L.Condensation.PropAgree.subB2T-back             3,275ms 
L.Condensation.BinShapeClosed.in'                2,420ms 
L.Condensation.SatGraphAgree.out                 2,231ms 
L.Condensation.LeafAgree.back                    1,381ms 
L.Condensation.LeafAgree.out                     1,345ms 
L.Condensation.SatGraphAgree.body-back           1,191ms 
L.Condensation.ExInAgree.back                    1,165ms 
L.Condensation.AllInAgree.back                   1,153ms 
L.Condensation.WitnessAgree._.go                 1,106ms 
L.Condensation.AllInAgree.out                    1,062ms 
L.Condensation.SatGraphAgree.body-out            1,059ms 
L.Condensation.ExInAgree.out                     1,054ms 
L.Condensation.WitnessAgree._.go                 1,023ms 
L.Condensation.ImpAgree.out                        888ms 
L.Condensation.Clause.Δ₀-bodyBnd                   825ms 
L.Condensation.Exist.Δ₀-existBndAt                 822ms 
L.Condensation.ImpLeaf.yaOut                       798ms 
L.Condensation.ImpLeaf.ybOut                       795ms 
L.Condensation.Forall.Δ₀-bodyFφ                    783ms 
L.Condensation.ImpAgree.back                       759ms 
L.Condensation._.dc                                723ms 
L.Condensation._.dc                                709ms 
L.Condensation.ForallAgree.back                    696ms 
L.Condensation.EqAgree.back                        684ms 
L.Condensation.MemAgree.back                       658ms 
L.Condensation.PropAgree.back                      638ms 
L.Condensation.ShapedAgree.back                    612ms 
L.Condensation.ExistAgree.back                     612ms 
L.Condensation.EqAgree.out                         610ms 
L.Condensation.ForallAgree.out                     605ms 
L.Condensation.MemAgree.out                        595ms 
L.Condensation.ShapedAgree.out                     581ms 
L.Condensation.KFactsNS.KFacts                     566ms 
L.Condensation.BinaryShape.in'                     554ms 
L.Condensation.NegAgree.back                       531ms 
L.Condensation.ExistAgree.out                      527ms 
L.Condensation.SatGraphAgree.lift3                 502ms 
L.Condensation.NegAgree.out                        449ms 
L.Condensation.TopAgree.back                       418ms 
L.Condensation.AllIn.Δ₀-allInBndAt                 415ms 
L.Condensation.BinShapeClosed._.target             402ms 
L.Condensation.TmVal.in'                           398ms 
L.Condensation.CertTransfer.cert-transfer          385ms 
L.Condensation.TmVal.out                           364ms 
L.Condensation.PropAgree.out                       360ms 
L.Condensation.TopAgree.out                        338ms 
L.Condensation.BndLeaf.keyK-of                     304ms 
L.Condensation.AtomLeaf.keyK-of                    299ms 
L.Condensation.KFactsCons                          290ms 
L.Condensation.BinaryShape._.target                266ms 
L.Condensation.BndLeaf.all-fwd                     249ms 
L.Condensation.PropAgree.subB2T                    240ms 
L.Condensation.BndLeaf.ex-bwd                      227ms 
L.Condensation.BndLeaf.ex-fwd                      225ms 
L.Condensation.UnShapeClosed.in'                   224ms 
L.Condensation.ShapesAgree.out                     195ms 
L.Condensation.SubValSuccB2T.out                   188ms 
L.Condensation.UnaryShape.in'                      179ms 
L.Condensation.ExistAgree.Leaf.fwd                 165ms 
L.Condensation.BndLeaf.all-bwd                     165ms 
L.Condensation.UnShapeClosed._.target              165ms 
L.Condensation.ExistAgree.Leaf.bwd                 162ms 
L.Condensation.LeafAgree.ic-back                   160ms 
L.Condensation.PropAgree.keyK₀                     157ms 
L.Condensation.LeafAgree.ic-out                    155ms 
L.Condensation.ClosedAgree.back                    146ms 
L.Condensation.KeyAgree._._.go₂                    143ms 
L.Condensation.ClosedAgree.out                     142ms 
L.Condensation.BinFormAgree._._._.go₃              128ms 
L.Condensation.TmBranch._._.tagAt                  124ms 
L.Condensation.AtomLeaf.bwd                        121ms 
L.Condensation.UnaryShape._.target                 120ms 
L.Condensation.ImpLeaf.yaBack                      119ms 
L.Condensation.ImpLeaf.ybBack                      116ms 
L.Condensation.AtomLeaf.fwd                        114ms 
L.Condensation.Lift12Back.back                     112ms 
L.Condensation.SubValSuccB2T.back                  109ms 
L.Condensation.BinFrameAgree._.go                  107ms 
L.Condensation.Lift12Back.s₁                       106ms 
L.Condensation.BinFormAgree._._._._.shape          103ms 
L.Condensation.BinFormAgree._._._.go₃              103ms 
L.Condensation.Lift12Back.s₂                       100ms 
L.Condensation.EnvSet.over→bnd                      97ms 
L.Condensation.SatGraphB.Δ₀-twelveB                 96ms 
L.Condensation.BotAgree.bot-in                      92ms 
L.Condensation.Lift12Back.s₃                        89ms 
L.Condensation.DomainAgree.out                      87ms 
L.Condensation.Lift12Out.out                        86ms 
L.Condensation.Δ₀-prAtL                             85ms 
L.Condensation.BothTmRel.out                        84ms 
L.Condensation.Lift12Back.s₄                        84ms 
L.Condensation.TagAgree._.go                        83ms 
L.Condensation.BinFrameAgree.out                    81ms 
L.Condensation.UnFrameAgree._.go                    79ms 
L.Condensation.BothTmRel.back                       77ms 
L.Condensation.Lift12Back.s₅                        76ms 
L.Condensation.AtomLeaf.tmW-in                      75ms 
L.Condensation.AtomLeaf.tmV-in                      73ms 
L.Condensation.UnFormAgree._._.go₂                  73ms 
L.Condensation.BndLeaf.tmIn                         71ms 
L.Condensation.EnvSet.bnd→over                      70ms 
L.Condensation.ExInRow.σL-out                       69ms 
L.Condensation.PropAgree.opBack                     69ms 
L.Condensation.AllInRow.σL-out                      68ms 
L.Condensation.UnFormAgree._._._.shape              68ms 
L.Condensation.Lift12Back.s₆                        67ms 
L.Condensation.UnFormAgree._._.go₂                  67ms 
L.Condensation.AtomLeaf.tmV-out                     64ms 
L.Condensation.EnvOneAgree.back                     64ms 
L.Condensation.ImpRow.σL-out                        61ms 
L.Condensation.BinFormAgree._._._._.ks              61ms 
L.Condensation.SatGraphB.twelveB                    61ms 
L.Condensation.TmAgree.out                          61ms 
L.Condensation.BndLeaf.tmOut                        61ms 
L.Condensation.KeyAgree._.go                        61ms 
L.Condensation.EnvOneAgree.out                      61ms 
L.Condensation.KeyAgree._._.hp                      61ms 
L.Condensation.OrRow.σL-out                         60ms 
L.Condensation.AtomLeaf.tmW-out                     60ms 
L.Condensation.DefinesAgree._.go                    60ms 
L.Condensation.UnFrameAgree.out                     58ms 
L.Condensation.AndRow.σL-out                        58ms 
L.Condensation.Lift12Back.s₇                        58ms 
L.Condensation.SatGraphB.Δ₀-satGraphB               58ms 
L.Condensation.DefinesAgree._._.eOne                58ms 
L.Condensation.TmAgree.in'                          57ms 
L.Condensation.BinFrameAgree._._.ks                 54ms 
L.Condensation.Lift12Back.s₈                        52ms 
L.Condensation.ExInRow.σL-in                        52ms 
L.Condensation.DefinesAgree._._.eB                  51ms 
L.Condensation.AllInRow.σL-in                       51ms 
L.Condensation.BinFullDecode.binFull-out            51ms 
L.Condensation.MemRow.σL-out                        51ms 
L.Condensation.EqRow.σL-out                         49ms 
L.Condensation.NegRow.σL-out                        48ms 
L.Condensation.BndLeaf.bodyS                        48ms 
L.Condensation.ForallRow.σL-out                     47ms 
L.Condensation.DomainAgree.back                     47ms 
L.Condensation.KValue.facts                         47ms 
L.Condensation.PropAgree.opOut                      46ms 
L.Condensation.FstTmRel.out                         46ms 
L.Condensation.FstTmRel.back                        46ms 
L.Condensation.BinFullDecode.binFull-in             45ms 
L.Condensation.Lift12Back.s₉                        45ms 
L.Condensation.TagAgree._.h'                        45ms 
L.Condensation.BndLeaf.bodySx                       45ms 
L.Condensation.BinShapeClosed.out                   44ms 
L.Condensation.UnFullDecode.unFull-out              44ms 
L.Condensation.ImpRow.σL-in                         42ms 
L.Condensation.BinFormAgree._._.go₂                 42ms 
L.Condensation.EqRow.σL-in                          42ms 
L.Condensation.DefinesAgree._.go                    42ms 
L.Condensation.AtomLeaf.vK-lift                     42ms 
L.Condensation.AndRow.σL-in                         41ms 
L.Condensation.OrRow.σL-in                          41ms 
L.Condensation.ClauseDecode.existBnd-out            41ms 
L.Condensation.BotAgree.bot-out                     40ms 
L.Condensation.BinEnvDecode.binEnv-out              40ms 
L.Condensation.ImpLeaf.envSet-out                   40ms 
L.Condensation.UnFrameAgree._._.ks                  40ms 
L.Condensation.BinFormAgree.out                     40ms 
L.Condensation.ImpLeaf.envSet-back                  39ms 
L.Condensation.Lift12Back.s₁₀                       39ms 
L.Condensation.MemRow.σL-in                         39ms 
L.Condensation.TmBranch._._._.tagPart               38ms 
