# arm f1-onefield
# file agents/tasks/LJ-1-331/CondF1.lagda.md
# flags --profile=definitions 
# GHCRTS -A64m -I0 -M8g
# agda slots before 0
# load before  2:09  up 2 days,  4:31, 3 users, load averages: 14.33 11.47 10.81
# started 2026-08-16 02:09:16
Checking LJ-1-331.CondF1 (/Users/alsg/Agentic/Bedrock/agents/tasks/LJ-1-331/CondF1.lagda.md).
Total                                      32,507ms 
Miscellaneous                              13,901ms 
LJ-1-331.CondF1.PropAgree.subB2T-back       3,408ms 
LJ-1-331.CondF1._.dc                          932ms 
LJ-1-331.CondF1.Exist.Δ₀-existBndAt           844ms 
LJ-1-331.CondF1.Forall.Δ₀-bodyFφ              798ms 
LJ-1-331.CondF1._.dc                          738ms 
LJ-1-331.CondF1.ForallAgree.back              734ms 
LJ-1-331.CondF1.PropAgree.back                682ms 
LJ-1-331.CondF1.Clause.Δ₀-bodyBnd             649ms 
LJ-1-331.CondF1.ForallAgree.out               632ms 
LJ-1-331.CondF1.BinaryShape.in'               589ms 
LJ-1-331.CondF1.NegAgree.back                 565ms 
LJ-1-331.CondF1.BinaryShape.out               546ms 
LJ-1-331.CondF1.NegAgree.out                  487ms 
LJ-1-331.CondF1.TopAgree.back                 444ms 
LJ-1-331.CondF1.TmVal.in'                     419ms 
LJ-1-331.CondF1.CertTransfer.cert-transfer    384ms 
LJ-1-331.CondF1.TmVal.out                     379ms 
LJ-1-331.CondF1.PropAgree.out                 374ms 
LJ-1-331.CondF1.TopAgree.out                  350ms 
LJ-1-331.CondF1.BinaryShape._.target          273ms 
LJ-1-331.CondF1.PropAgree.subB2T              225ms 
LJ-1-331.CondF1.SubValSuccB2T.out             195ms 
LJ-1-331.CondF1.UnaryShape.in'                190ms 
LJ-1-331.CondF1.PropAgree.keyK₀               168ms 
LJ-1-331.CondF1.UnaryShape._.target           128ms 
LJ-1-331.CondF1.SubValSuccB2T.back            120ms 
LJ-1-331.CondF1.EnvSet.over→bnd               106ms 
LJ-1-331.CondF1.BotAgree.bot-in               102ms 
LJ-1-331.CondF1.SatGraphB.Δ₀-twelveB           98ms 
LJ-1-331.CondF1.Δ₀-prAtL                       81ms 
LJ-1-331.CondF1.EnvSet.bnd→over                75ms 
LJ-1-331.CondF1.ExInRow.σL-out                 72ms 
LJ-1-331.CondF1.PropAgree.opBack               71ms 
LJ-1-331.CondF1.AllInRow.σL-out                66ms 
LJ-1-331.CondF1.SatGraphB.Δ₀-satGraphB         63ms 
LJ-1-331.CondF1.SatGraphB.twelveB              62ms 
LJ-1-331.CondF1.ImpRow.σL-out                  60ms 
LJ-1-331.CondF1.OrRow.σL-out                   60ms 
LJ-1-331.CondF1.AndRow.σL-out                  58ms 
LJ-1-331.CondF1.BinFullDecode.binFull-out      55ms 
LJ-1-331.CondF1.EqRow.σL-out                   55ms 
LJ-1-331.CondF1.ExInRow.σL-in                  53ms 
LJ-1-331.CondF1.PropAgree.opOut                51ms 
LJ-1-331.CondF1.MemRow.σL-out                  51ms 
LJ-1-331.CondF1.AllInRow.σL-in                 50ms 
LJ-1-331.CondF1.NegRow.σL-out                  48ms 
