Checking ProbeT242 (/Users/alsg/Agentic/Bedrock/src/ProbeT242.agda).
Total                           40,247ms 
Miscellaneous                    3,327ms 
ProbeT242.StepAt.storyW6b-ok     7,376ms 
ProbeT242.StepAt.storyWClauses6  7,270ms 
ProbeT242.StepAt.storyW6-out     3,754ms 
ProbeT242.StepAt.storyW6-in      3,753ms 
ProbeT242.StepAt.storyW6b-in     3,725ms 
ProbeT242.StepAt.storyW6b-out    3,640ms 
ProbeT242.StepAt.storyW-in       3,637ms 
ProbeT242.StepAt.storyW-out      3,605ms 
ProbeT242.StepAt._._.both           54ms 
ProbeT242.StepAt._._._.argIn        46ms 
ProbeT242.StepAt._.go               32ms 
ProbeT242.StepAt._.go               21ms 
real 40.51
user 40.18
sys 0.21
